
значение показателя за год
;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;
Муниципальный район Вуктыл (до 1 января 2017 года);;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;
Муниципальный район Вуктыл (до 1 января 2017 года);;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Расходы местного бюджета, фактически исполненные, тысяча рублей;;;;;;;;;;;;;;;;
Всего;276573;273313;367404;360366;399327;425107;514859;575108;633075;552812;541983;;;;;
Общий объем расходов консолидированного бюджета муниципального района, тысяча рублей;;;;;;;;;;;;;;;;
;;;;;;484536;564412;;;;;;;;;
Расходы на развитие и поддержку малого предпринимательства, тысяча рублей;;;;;;;;;;;;;;;;
;;;;33;;;;;;;;;;;;
Всего;;;;;;;;;;;;;;;;
Доходы местного бюджета, фактически исполненные, тысяча рублей;;;;;;;;;;;;;;;;
;276831;271202;373916;364616;394352;442061;544996;547638;617784;533102;530153;;;;;
Городское поселение;;;;;;;;;;;;;;;;
Вуктыл (до 1 января 2017 года);;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Расходы местного бюджета, фактически исполненные, тысяча рублей;;;;;;;;;;;;;;;;
Всего;31135;49013;43370;58830;72488;60803;77750;84016;69308;65710;49707;;;;;
Всего;;;;;;;;;;;;;;;;
Доходы местного бюджета, фактически исполненные, тысяча рублей;;;;;;;;;;;;;;;;
;31633;49292;43643;59957;70873;62670;78582;89587;61371;67293;48416;;;;;
Сельское поселение;;;;;;;;;;;;;;;;
Дутово (до 1 января 2017 года);;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Расходы местного бюджета, фактически исполненные, тысяча рублей;;;;;;;;;;;;;;;;
Всего;24335;21967;27391;9794;9173;10578;11112;13112;15120;9921;7258;;;;;
Всего;;;;;;;;;;;;;;;;
Доходы местного бюджета, фактически исполненные, тысяча рублей;;;;;;;;;;;;;;;;
;24495;22024;27552;9470;9087;11003;11257;12834;15409;9512;7043;;;;;
Лемтыбож (до 1 января 2017 года);;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Расходы местного бюджета, фактически исполненные, тысяча рублей;;;;;;;;;;;;;;;;
Всего;4962;6892;8271;3378;4196;5058;3391;4425;9082;3863;3937;;;;;
Всего;;;;;;;;;;;;;;;;
Доходы местного бюджета, фактически исполненные, тысяча рублей;;;;;;;;;;;;;;;;
;5149;6889;8335;3308;4181;5118;3511;4296;9125;3788;3942;;;;;
Подчерье (до 1 января 2017 года);;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Расходы местного бюджета, фактически исполненные, тысяча рублей;;;;;;;;;;;;;;;;
Всего;14773;17002;25474;12075;11098;11955;9963;11147;10474;8767;8334;;;;;
Всего;;;;;;;;;;;;;;;;
Доходы местного бюджета, фактически исполненные, тысяча рублей;;;;;;;;;;;;;;;;
;14764;16914;25771;4930;4145;3629;910;10434;11332;7789;8242;;;;;
Усть-Соплеск (до 1 января 2017 года);;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Расходы местного бюджета, фактически исполненные, тысяча рублей;;;;;;;;;;;;;;;;
Всего;6180;5927;7412;2275;3590;2790;2983;2579;3394;3081;2303;;;;;
Всего;;;;;;;;;;;;;;;;
Доходы местного бюджета, фактически исполненные, тысяча рублей;;;;;;;;;;;;;;;;
;6411;6317;7640;1859;3576;2859;2945;2896;3234;2956;2351;;;;;
Муниципальный район Ижемский;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;
Муниципальный район Ижемский;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Расходы местного бюджета, фактически исполненные, тысяча рублей;;;;;;;;;;;;;;;;
Всего;375863;412818;524603;527643;577039;624855;802982;1041726;993646;932105;939844;945956;1193551;1269429;1335768;
Общий объем расходов консолидированного бюджета муниципального района, тысяча рублей;;;;;;;;;;;;;;;;
;;;;;;635371;803616;;;;;;;;;
Расходы на развитие и поддержку малого предпринимательства, тысяча рублей;;;;;;;;;;;;;;;;
;;;494;172;;;;;;;;;;;;
Всего;;;;;;;;;;;;;;;;
Доходы местного бюджета, фактически исполненные, тысяча рублей;;;;;;;;;;;;;;;;
;385542;407191;529344;527709;576896;648561;851237;1050268;990132;927543;941428;935640;1138800;1268056;1348895;
Сельское поселение;;;;;;;;;;;;;;;;
Брыкаланск;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Расходы местного бюджета, фактически исполненные, тысяча рублей;;;;;;;;;;;;;;;;
Всего;10351;11753;1459;1404;1672;2068;3055;2963;4160;2947;3307;3023;3522;3564;5913;
Всего;;;;;;;;;;;;;;;;
Доходы местного бюджета, фактически исполненные, тысяча рублей;;;;;;;;;;;;;;;;
;10391;11968;1620;1757;1797;2293;3364;2990;4034;2961;3186;3035;3614;3894;5995;
Ижма;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Расходы местного бюджета, фактически исполненные, тысяча рублей;;;;;;;;;;;;;;;;
Всего;12926;6479;6110;6747;22940;9501;16119;24016;14398;12120;13588;15934,3;13413,5;15548,2;39194,9;
Всего;;;;;;;;;;;;;;;;
Доходы местного бюджета, фактически исполненные, тысяча рублей;;;;;;;;;;;;;;;;
;13056;7014;5628;6971;23330;11671;16662;21694;15057;13750;10129;15349,3;13536,6;15541,1;39202,4;
Том;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Расходы местного бюджета, фактически исполненные, тысяча рублей;;;;;;;;;;;;;;;;
Всего;15580;18877;21859;2529;9630;3003;4169;3681;3669;4049;4133;3772;4459;6251;6623;
Всего;;;;;;;;;;;;;;;;
Доходы местного бюджета, фактически исполненные, тысяча рублей;;;;;;;;;;;;;;;;
;16105;18918;21819;2514;9685;3087;4198;3562;3869;4002;4492;3737;3943;6173;6276,3;
Кельчиюр;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Расходы местного бюджета, фактически исполненные, тысяча рублей;;;;;;;;;;;;;;;;
Всего;17715;20900;26080;2420;2409;2737;5190;3529;4396;4306;4563,3;4835,2;5229,8;5243,3;7233,7;
Всего;;;;;;;;;;;;;;;;
Доходы местного бюджета, фактически исполненные, тысяча рублей;;;;;;;;;;;;;;;;
;17721;20971;26073;2439;2363;2862;5093;3758;4543;3969;4539;4803,3;5185,9;5248,9;7393,2;
Кипиево;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Расходы местного бюджета, фактически исполненные, тысяча рублей;;;;;;;;;;;;;;;;
Всего;10430;12211;14482;1871;1739;2163;3336;3206;4034;2975;3299;3185,3;3380,9;3462,8;4302,3;
Всего;;;;;;;;;;;;;;;;
Доходы местного бюджета, фактически исполненные, тысяча рублей;;;;;;;;;;;;;;;;
;10432;12211;14411;2102;1929;2150;3292;3225;4031;2941;3309,5;3251,5;3387,8;4053;4182,9;
Краснобор;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Расходы местного бюджета, фактически исполненные, тысяча рублей;;;;;;;;;;;;;;;;
Всего;25336;28530;35502;4618;3433;3668;5452;4651;5683;5339;5293;5098;5216;6154;7737;
Всего;;;;;;;;;;;;;;;;
Доходы местного бюджета, фактически исполненные, тысяча рублей;;;;;;;;;;;;;;;;
;25512;28532;36896;4298;3067;3600;5496;4589;6318;4944;5053;5504;5087;5928;7723;
Мохча;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Расходы местного бюджета, фактически исполненные, тысяча рублей;;;;;;;;;;;;;;;;
Всего;23672;26854;2662;2808;2956;2934;4332;4068;4257;5178;5634;5104,9;6870,3;8600,7;11062,2;
Всего;;;;;;;;;;;;;;;;
Доходы местного бюджета, фактически исполненные, тысяча рублей;;;;;;;;;;;;;;;;
;23699;26288;2598;2933;2902;2961;4362;4001;4348;5060;5685;5113,5;6994,4;8520,9;11483,3;
Няшабож;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Расходы местного бюджета, фактически исполненные, тысяча рублей;;;;;;;;;;;;;;;;
Всего;8884;10550;12984;1723;1613;2029;3037;2530;3044;2385;2988;2828,4;2851,5;4248,4;4713,5;
Всего;;;;;;;;;;;;;;;;
Доходы местного бюджета, фактически исполненные, тысяча рублей;;;;;;;;;;;;;;;;
;8932;10651;12984;1848;1680;2064;3222;2443;3247;2344;2946;2661,3;2895,6;4230;5041,1;
Сизябск;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Расходы местного бюджета, фактически исполненные, тысяча рублей;;;;;;;;;;;;;;;;
Всего;19880;22737;2418;3058;3116;3670;4449;3816;4566;4877;5341;5294;6971;7913,3;10994,8;
Всего;;;;;;;;;;;;;;;;
Доходы местного бюджета, фактически исполненные, тысяча рублей;;;;;;;;;;;;;;;;
;19938;22710;2592;3108;2934;3642;4460;3832;4511;4860;5343;5435;6896;7871,2;11595,1;
Щельяюр;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Расходы местного бюджета, фактически исполненные, тысяча рублей;;;;;;;;;;;;;;;;
Всего;26006;28266;33555;19473;8143;10579;15032;14000;8550;7343;8228;8707,8;10736,1;12108,5;14683,5;
Всего;;;;;;;;;;;;;;;;
Доходы местного бюджета, фактически исполненные, тысяча рублей;;;;;;;;;;;;;;;;
;26735;28607;34429;18416;8531;9795;16815;14768;29557;7470;8416;8799,5;10387,6;12110,8;14776,8;
Муниципальный район Княжпогостский;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;
Муниципальный район Княжпогостский (до 1 января 2025 года);;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Расходы местного бюджета, фактически исполненные, тысяча рублей;;;;;;;;;;;;;;;;
Всего;338786;298622;373718;501386;506894;517627;878612;931758;716836;725383;684270;615110,9;667872,5;746427,2;784976,6;
Общий объем расходов консолидированного бюджета муниципального района, тысяча рублей;;;;;;;;;;;;;;;;
;;;;;;543621;839716;;;;;;;;;
Расходы на развитие и поддержку малого предпринимательства, тысяча рублей;;;;;;;;;;;;;;;;
;;;1000;53;;;;;;;;;;;;
Всего;;;;;;;;;;;;;;;;
Доходы местного бюджета, фактически исполненные, тысяча рублей;;;;;;;;;;;;;;;;
;344631;335195;485375;425936;477169;606248;1047251;772653;761625;651116;635915;624320,1;718413,1;750169,6;755776,8;
Городское поселение;;;;;;;;;;;;;;;;
Емва;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Расходы местного бюджета, фактически исполненные, тысяча рублей;;;;;;;;;;;;;;;;
Всего;22208;37351;41402;70617;45096;61350;265758;305034;65062;55066;52745,5;74324;70863;84434;148336;
Всего;;;;;;;;;;;;;;;;
Доходы местного бюджета, фактически исполненные, тысяча рублей;;;;;;;;;;;;;;;;
;22650;39414;42785;68675;46969;85511;314530;242196;53498;55298;66586,4;76300;68373;84976;149337;
Синдор;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Расходы местного бюджета, фактически исполненные, тысяча рублей;;;;;;;;;;;;;;;;
