
значение показателя за год
;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;
Муниципальный район Вуктыл (до 1 января 2017 года);;;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;;;
Муниципальный район Вуктыл (до 1 января 2017 года);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;90;140;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;780;721;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;;1876;1847;;;;283;;;;;;;;;;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;;397;;;;;283;;;;;;;;;;;;;
Городское поселение;;;;;;;;;;;;;;;;;;;;
Городские поселения района Вуктыл (до 1 января 2017 года);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;;105;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;;643;;;;;;;;;;;;;;;;;;
Вуктыл (до 1 января 2017 года);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;55;105;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;674;643;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;;1581;1847;;;;;;;;;;;;;;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;;102;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;;
Сельские поселения района Вуктыл (до 1 января 2017 года);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;;35;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;;78;;;;;;;;;;;;;;;;;;
Дутово (до 1 января 2017 года);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;17;7;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;44;37;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;;;;;;;81,7;;;;;;;;;;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;;;;;;;81,7;;;;;;;;;;;;;
Лемтыбож (до 1 января 2017 года);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;2;7;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;24;15;;;;;;;;;;;;;;;;;;
Подчерье (до 1 января 2017 года);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;14;16;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;33;24;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;;295;;;;;;;;;;;;;;;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;;295;;;;;;;;;;;;;;;;;;
Усть-Соплеск (до 1 января 2017 года);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;2;5;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;5;2;;;;;;;;;;;;;;;;;;
Муниципальный район Ижемский;;;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;;;
Муниципальный район Ижемский;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;7;14;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;231;143;;;;;;;;;;;;;;;;;;
Ввод жилья в многоквартирных жилых домах, квадратный метр общей площади;;;;;;;;;;;;;;;;;;;1118;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;4064;3528;4116;2170;4117;4886;1455,2;2055;630,5;2070,4;2952,45;1184;1188;3111;3058;1947;3879;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;4064;3528;4116;1869;4117;4532;1455,2;2055;630,5;1236,9;2952,45;1184;1188;3111;3058;1947;3637;4434;7002;
Жилые здания, жилые помещения в нежилых зданиях и жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;;;;;;;;;;;;;;;;;;4676;8120;
Сельское поселение;;;;;;;;;;;;;;;;;;;;
Сельские поселения Ижемского района;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;;14;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;;143;;;;;;;;;;;;;;;;;;
Брыкаланск;;;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;157;;123;;183;;;;;2;;;;;80;;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;157;;123;;183;;;;;2;;;;;80;;;;;
Ижма;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;3;13;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;133;65;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;1878;1477;2508;784;1543;3610;934,2;440;275;849,8;921,4;276;276;0;857;313;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;1878;1477;2508;784;1543;3256;934,2;440;275;849,8;921,4;276;276;0;857;313;;;;
Том;;;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;;;;;;;;;;;;;0;0;;;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;;;;;;;;;;;;;0;0;;;;;;
Кельчиюр;;;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;308;121;400;107;479;212;113;490;128;;272,8;58;99;50;115;110;270;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;308;121;400;107;479;212;113;490;128;;272,8;58;99;50;115;110;270;;;
Кипиево;;;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;;42;;;73;;;56;;;;;0;0;69;;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;;42;;;73;;;56;;;;;0;0;69;;;;;
Краснобор;;;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;246;402;68;302;573;258;119;265;56;;104;162;312;100;291;200;266;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;246;402;68;302;573;258;119;265;56;;104;162;312;100;291;200;266;;;
Мохча;;;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;80;502;75;279;603;436;222;408;70;198;421,55;129;164;159;;143;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;80;502;75;279;603;436;222;408;70;198;;129;164;159;;143;;;;
Няшабож;;;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;;;;;;;;;;;62,2;;59;71;78;78;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;;;;;;;;;;;62,2;;59;71;78;78;;;;
Сизябск;;;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;602;771;583;154;202;49;;;;294,1;1107;559;278;498;772;442;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;602;771;583;154;202;49;;;;294,1;;559;278;498;772;442;;;;
Щельяюр;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;4;1;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;98;78;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;793;213;359;544;461;321;67;222;101,5;833,5;63,4;;;;631;;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;793;213;359;243;461;321;67;222;101,5;;63,4;;;;631;;;;;
Муниципальный район Княжпогостский;;;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;;;
Муниципальный район Княжпогостский (до 1 января 2025 года);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
