
январь-декабрь
;2017;2018;2019;2020;2021;2022;2023;2024;
Муниципальный район Ижемский;;;;;;;;;
Муниципальный район Ижемский;;;;;;;;;
Всего по обследуемым видам экономической деятельности;;;;;;;;;
Среднесписочная численность работников организаций муниципальной формы собственности (с 2017 года), человек;;;;;;;;;
Муниципальный район;1590;1577;1550;1564;1546;1479;1448;1423;
Фонд заработной платы всех работников организаций муниципальной формы собственности ( c 2017 года), тысяча рублей;;;;;;;;;
Муниципальный район;548127,4;674690,8;745955,8;785998,9;824314,7;888997,7;952057,7;1074670,6;
Среднемесячная заработная плата работников организаций муниципальной формы собственности ( с 2017 года), рубль;;;;;;;;;
Муниципальный район;28728;35652,7;40092,2;41890,5;44418,3;50093,4;54775,6;62955,4;
Раздел M Деятельность профессиональная, научная и техническая;;;;;;;;;
Среднесписочная численность работников организаций муниципальной формы собственности (с 2017 года), человек;;;;;;;;;
Муниципальный район;45;48;50;50;51;53;53;55;
Фонд заработной платы всех работников организаций муниципальной формы собственности ( c 2017 года), тысяча рублей;;;;;;;;;
Муниципальный район;16871,4;19309;21982,1;23195;23823,5;27118,2;31552,3;34409,8;
Среднемесячная заработная плата работников организаций муниципальной формы собственности ( с 2017 года), рубль;;;;;;;;;
Муниципальный район;31243;33522,6;36932,3;39048,8;38699,6;42800,2;49479,8;52232,3;
Раздел O Государственное управление и обеспечение военной безопасности; социальное обеспечение;;;;;;;;;
Среднесписочная численность работников организаций муниципальной формы собственности (с 2017 года), человек;;;;;;;;;
Муниципальный район;180;175;173;177;180;178;175;170;
Фонд заработной платы всех работников организаций муниципальной формы собственности ( c 2017 года), тысяча рублей;;;;;;;;;
Муниципальный район;77935,4;81716,6;89738,7;96301,5;102520,2;112911,8;124463,5;128642,1;
Среднемесячная заработная плата работников организаций муниципальной формы собственности ( с 2017 года), рубль;;;;;;;;;
Муниципальный район;35474;38351,1;42354,5;44722,1;46766,6;51976,5;58447,5;62812,4;
Раздел P Образование;;;;;;;;;
Среднесписочная численность работников организаций муниципальной формы собственности (с 2017 года), человек;;;;;;;;;
Муниципальный район;1178;1158;1135;1142;1122;1057;1032;1016;
Фонд заработной платы всех работников организаций муниципальной формы собственности ( c 2017 года), тысяча рублей;;;;;;;;;
Муниципальный район;393658,9;493555,8;545657,5;579190,7;608255,1;642357,3;678645,8;784597,9;
Среднемесячная заработная плата работников организаций муниципальной формы собственности ( с 2017 года), рубль;;;;;;;;;
Муниципальный район;27848;35517,8;40077,1;42260,7;45180,5;50640,8;54766,5;64364,4;
Раздел R Деятельность в области культуры, спорта, организации досуга и развлечений;;;;;;;;;
Среднесписочная численность работников организаций муниципальной формы собственности (с 2017 года), человек;;;;;;;;;
Муниципальный район;121;124;124;127;125;123;121;118;
Фонд заработной платы всех работников организаций муниципальной формы собственности ( c 2017 года), тысяча рублей;;;;;;;;;
Муниципальный район;48910,2;58798,1;63807,7;60417,9;60986,7;73690,7;81263,8;89077,5;
Среднемесячная заработная плата работников организаций муниципальной формы собственности ( с 2017 года), рубль;;;;;;;;;
Муниципальный район;33640;39490;42922,5;39550,9;40472,6;49874,9;55257,4;63012,7;
Муниципальный район Княжпогостский;;;;;;;;;
Муниципальный район Княжпогостский (до 1 января 2025 года);;;;;;;;;
Всего по обследуемым видам экономической деятельности;;;;;;;;;
Среднесписочная численность работников организаций муниципальной формы собственности (с 2017 года), человек;;;;;;;;;
Муниципальный район;1236;1341;1298;1261;1246;1193;1147;1125;
Фонд заработной платы всех работников организаций муниципальной формы собственности ( c 2017 года), тысяча рублей;;;;;;;;;
Муниципальный район;367034,1;505770,4;525167,2;550936,9;573711,5;600219,7;627411,1;712021,7;
Среднемесячная заработная плата работников организаций муниципальной формы собственности ( с 2017 года), рубль;;;;;;;;;
Муниципальный район;24746;31429,9;33721,6;36411,6;38379,5;41933,5;45598,6;52760,2;
Раздел O Государственное управление и обеспечение военной безопасности; социальное обеспечение;;;;;;;;;
Среднесписочная численность работников организаций муниципальной формы собственности (с 2017 года), человек;;;;;;;;;
Муниципальный район;171;170;165;163;169;166;147;143;
Фонд заработной платы всех работников организаций муниципальной формы собственности ( c 2017 года), тысяча рублей;;;;;;;;;
Муниципальный район;63929,7;69512,4;81088,8;103080;105726;103209,5;97645,7;104449;
Среднемесячная заработная плата работников организаций муниципальной формы собственности ( с 2017 года), рубль;;;;;;;;;
Муниципальный район;30994;33907,3;40508,5;52311;51803,6;51552,9;54595;60425,7;
Раздел P Образование;;;;;;;;;
Среднесписочная численность работников организаций муниципальной формы собственности (с 2017 года), человек;;;;;;;;;
Муниципальный район;750;707;670;617;597;563;528;496;
Фонд заработной платы всех работников организаций муниципальной формы собственности ( c 2017 года), тысяча рублей;;;;;;;;;
Муниципальный район;231033;261707;258605,6;254497,1;265069,6;281857,6;290872,1;327119,7;
Среднемесячная заработная плата работников организаций муниципальной формы собственности ( с 2017 года), рубль;;;;;;;;;
Муниципальный район;25670;30847,1;32144,3;34394,4;37027,6;41682,6;45928,7;54947,9;
Раздел R Деятельность в области культуры, спорта, организации досуга и развлечений;;;;;;;;;
Среднесписочная численность работников организаций муниципальной формы собственности (с 2017 года), человек;;;;;;;;;
