
значение показателя за год
;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;
Муниципальный район Вуктыл (до 1 января 2017 года);;;;;;;;;;;
Муниципальный район;;;;;;;;;;;
Муниципальный район Вуктыл (до 1 января 2017 года);;;;;;;;;;;
Число коллективных средств размещения, единица;1;1;1;;;;;;;;
Число мест в коллективных средствах размещения, единица;28;60;60;;;;;;;;
Городское поселение;;;;;;;;;;;
Вуктыл (до 1 января 2017 года);;;;;;;;;;;
Число коллективных средств размещения, единица;1;1;1;;;;;;;;
Число мест в коллективных средствах размещения, единица;28;60;60;;;;;;;;
Муниципальный район Ижемский;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;
Муниципальный район Ижемский;;;;;;;;;;;
Число коллективных средств размещения, единица;1;1;1;1;2;2;2;3;2;2;
Число мест в коллективных средствах размещения, единица;50;50;50;50;57;60;;49;;;
Сельское поселение;;;;;;;;;;;
Ижма;;;;;;;;;;;
Число коллективных средств размещения, единица;1;1;1;1;1;2;2;;;;
Число мест в коллективных средствах размещения, единица;50;50;50;50;57;60;;;;;
Том;;;;;;;;;;;
Число коллективных средств размещения, единица;;;;;0;0;;;;;
Число мест в коллективных средствах размещения, единица;;;;;0;0;;;;;
Кипиево;;;;;;;;;;;
Число коллективных средств размещения, единица;;;;;0;0;;;;;
Число мест в коллективных средствах размещения, единица;;;;;0;0;;;;;
Муниципальный район Княжпогостский;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;
Муниципальный район Княжпогостский (до 1 января 2025 года);;;;;;;;;;;
Число коллективных средств размещения, единица;5;5;;5;5;2;2;3;2;1;
Число мест в коллективных средствах размещения, единица;183;183;;183;183;196;;236;;;
Городское поселение;;;;;;;;;;;
Емва;;;;;;;;;;;
Число коллективных средств размещения, единица;;;0;0;0;1;1;;;;
Число мест в коллективных средствах размещения, единица;;;0;0;0;36;;;;;
Сельское поселение;;;;;;;;;;;
Серёгово;;;;;;;;;;;
Число коллективных средств размещения, единица;1;1;1;1;1;1;1;;;;
Число мест в коллективных средствах размещения, единица;160;160;160;160;160;160;;;;;
Муниципальный район Койгородский;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;
Муниципальный район Койгородский;;;;;;;;;;;
Число коллективных средств размещения, единица;1;1;1;2;3;2;3;1;;;
Число мест в коллективных средствах размещения, единица;22;22;6;51;59;14;;;;;
Сельское поселение;;;;;;;;;;;
Кажым;;;;;;;;;;;
Число коллективных средств размещения, единица;;;;1;1;0;;;;;
Число мест в коллективных средствах размещения, единица;;;;45;45;0;;;;;
Койгородок;;;;;;;;;;;
Число коллективных средств размещения, единица;1;1;1;1;1;1;2;;;;
Число мест в коллективных средствах размещения, единица;22;22;6;6;6;6;;;;;
Койдин;;;;;;;;;;;
Число коллективных средств размещения, единица;;;;;1;1;1;;;;
Число мест в коллективных средствах размещения, единица;;;;;8;8;;;;;
Муниципальный район Корткеросский;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;
Муниципальный район Корткеросский;;;;;;;;;;;
Число коллективных средств размещения, единица;6;5;5;5;5;5;4;3;;;
Число мест в коллективных средствах размещения, единица;133;90;90;90;90;90;;39;;;
Сельское поселение;;;;;;;;;;;
Додзь;;;;;;;;;;;
Число коллективных средств размещения, единица;;;;;;1;1;;;;
Число мест в коллективных средствах размещения, единица;;;;;;22;;;;;
Корткерос;;;;;;;;;;;
Число коллективных средств размещения, единица;1;;;0;;1;1;;;;
Число мест в коллективных средствах размещения, единица;73;;;0;;6;;;;;
Маджа;;;;;;;;;;;
Число коллективных средств размещения, единица;;;;;;;1;;;;
Позтыкерес;;;;;;;;;;;
Число коллективных средств размещения, единица;;;;;;1;;;;;
Число мест в коллективных средствах размещения, единица;;;;;;30;;;;;
Сторожевск;;;;;;;;;;;
Число коллективных средств размещения, единица;;;;;;1;1;;;;
Число мест в коллективных средствах размещения, единица;;;;;;14;;;;;
Муниципальный район Печора;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;
Муниципальный район Печора;;;;;;;;;;;
Число коллективных средств размещения, единица;6;10;11;10;8;10;11;8;9;9;
Число мест в коллективных средствах размещения, единица;282;317;323;237;175;334;;303;332;314;
Городское поселение;;;;;;;;;;;
Печора;;;;;;;;;;;
Число коллективных средств размещения, единица;6;10;11;8;8;8;9;;;;
Число мест в коллективных средствах размещения, единица;282;317;323;175;175;175;;;;;
Сельское поселение;;;;;;;;;;;
Приуральское;;;;;;;;;;;
Число коллективных средств размещения, единица;;;;;;2;1;;;;
Число мест в коллективных средствах размещения, единица;;;;;;18;;;;;
Муниципальный район Прилузский;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;
Муниципальный район Прилузский;;;;;;;;;;;
Число коллективных средств размещения, единица;1;2;1;1;1;1;1;1;1;1;
Число мест в коллективных средствах размещения, единица;21;17;12;12;12;21;;;;;
Сельское поселение;;;;;;;;;;;
Летка;;;;;;;;;;;
Число коллективных средств размещения, единица;;1;;;;;;;;;
Число мест в коллективных средствах размещения, единица;;5;;;;;;;;;
Лойма;;;;;;;;;;;
Число коллективных средств размещения, единица;;;;;0;0;;;;;
Число мест в коллективных средствах размещения, единица;;;;;0;0;;;;;
Объячево;;;;;;;;;;;
Число коллективных средств размещения, единица;;1;1;1;1;1;1;;;;
Число мест в коллективных средствах размещения, единица;;12;12;12;12;21;;;;;
Муниципальный район Сосногорск;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;
Муниципальный район Сосногорск;;;;;;;;;;;
Число коллективных средств размещения, единица;7;7;5;5;8;8;8;5;7;8;
Число мест в коллективных средствах размещения, единица;350;350;158;158;169;169;;190;244;267;
Городское поселение;;;;;;;;;;;
Сосногорск;;;;;;;;;;;
Число коллективных средств размещения, единица;6;6;4;4;7;6;6;;;;
Число мест в коллективных средствах размещения, единица;250;250;150;150;161;151;;;;;
Войвож;;;;;;;;;;;
Число коллективных средств размещения, единица;;;1;1;1;1;1;;;;
Число мест в коллективных средствах размещения, единица;;;8;8;8;8;;;;;
Нижний Одес;;;;;;;;;;;
Число коллективных средств размещения, единица;1;1;0;0;0;1;1;;;;
Число мест в коллективных средствах размещения, единица;100;100;0;0;0;10;;;;;
Муниципальный район Сыктывдинский;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;
Муниципальный район Сыктывдинский;;;;;;;;;;;
Число коллективных средств размещения, единица;4;4;1;8;9;11;11;12;10;10;
Число мест в коллективных средствах размещения, единица;740;740;1;445;573;1511;;1382;1400;1376;
Сельское поселение;;;;;;;;;;;
Выльгорт;;;;;;;;;;;
Число коллективных средств размещения, единица;;1;1;3;1;1;1;;;;
Число мест в коллективных средствах размещения, единица;;1;1;365;1;1;;;;;
Зеленец;;;;;;;;;;;
Число коллективных средств размещения, единица;;;;2;;;;;;;
Число мест в коллективных средствах размещения, единица;;;;20;;;;;;;
Нювчим;;;;;;;;;;;
Число коллективных средств размещения, единица;;;;;;0;;;;;
Число мест в коллективных средствах размещения, единица;;;;;;0;;;;;
Озёл;;;;;;;;;;;
Число коллективных средств размещения, единица;;;;;0;0;;;;;
Число мест в коллективных средствах размещения, единица;;;;;0;0;;;;;
Пажга;;;;;;;;;;;
Число коллективных средств размещения, единица;;;;2;2;2;2;;;;
Число мест в коллективных средствах размещения, единица;;;;10;208;208;;;;;
Палевицы;;;;;;;;;;;
Число коллективных средств размещения, единица;;;0;;;0;;;;;
Число мест в коллективных средствах размещения, единица;;;0;;;0;;;;;
Слудка;;;;;;;;;;;
Число коллективных средств размещения, единица;;;;;0;0;;;;;
Число мест в коллективных средствах размещения, единица;;;;;0;0;;;;;
Ыб;;;;;;;;;;;
Число коллективных средств размещения, единица;;;;1;;;;;;;
Число мест в коллективных средствах размещения, единица;;;;50;;;;;;;
Муниципальный район Сысольский;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;
Муниципальный район Сысольский;;;;;;;;;;;
Число коллективных средств размещения, единица;5;6;6;6;6;4;4;1;;;
Число мест в коллективных средствах размещения, единица;79;86;86;86;86;40;;;;;
Сельское поселение;;;;;;;;;;;
Визинга;;;;;;;;;;;
Число коллективных средств размещения, единица;3;4;4;4;4;3;3;;;;
Число мест в коллективных средствах размещения, единица;49;56;56;56;56;30;;;;;
Куниб;;;;;;;;;;;
Число коллективных средств размещения, единица;2;2;2;2;2;1;1;;;;
Число мест в коллективных средствах размещения, единица;30;30;30;30;30;10;;;;;
Межадор;;;;;;;;;;;
Число коллективных средств размещения, единица;;;;;;0;;;;;
Число мест в коллективных средствах размещения, единица;;;;;;0;;;;;
Муниципальный район Троицко-Печорский;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;
Муниципальный район Троицко-Печорский;;;;;;;;;;;
Число коллективных средств размещения, единица;1;1;2;2;2;2;2;2;2;3;
Число мест в коллективных средствах размещения, единица;41;41;57;57;57;51;;;;134;
Городское поселение;;;;;;;;;;;
Троицко-Печорск;;;;;;;;;;;
Число коллективных средств размещения, единица;1;1;2;2;2;2;2;;;;
Число мест в коллективных средствах размещения, единица;41;41;57;57;57;51;;;;;
Сельское поселение;;;;;;;;;;;
Усть-Илыч;;;;;;;;;;;
Число коллективных средств размещения, единица;;;;;0;0;;;;;
Число мест в коллективных средствах размещения, единица;;;;;0;0;;;;;
Муниципальный район Удорский;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;
Муниципальный район Удорский;;;;;;;;;;;
Число коллективных средств размещения, единица;4;4;3;1;1;1;1;2;1;1;
Число мест в коллективных средствах размещения, единица;42;42;38;18;18;86;;;;;
Городское поселение;;;;;;;;;;;
Усогорск;;;;;;;;;;;
Число коллективных средств размещения, единица;;;;;;;1;;;;
Муниципальный район Усть-Вымский;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;
Муниципальный район Усть-Вымский;;;;;;;;;;;
Число коллективных средств размещения, единица;4;6;6;6;6;5;5;5;5;5;
Число мест в коллективных средствах размещения, единица;44;106;106;106;106;143;;144;154;154;
Городское поселение;;;;;;;;;;;
Микунь;;;;;;;;;;;
Число коллективных средств размещения, единица;2;3;3;3;3;3;3;;;;
Число мест в коллективных средствах размещения, единица;25;82;82;82;82;82;;;;;
Жешарт;;;;;;;;;;;
Число коллективных средств размещения, единица;;;;;0;0;;;;;
Число мест в коллективных средствах размещения, единица;;;;;0;0;;;;;
Сельское поселение;;;;;;;;;;;
Айкино;;;;;;;;;;;
Число коллективных средств размещения, единица;2;2;;;;;;;;;
Число мест в коллективных средствах размещения, единица;16;16;;;;;;;;;
Студенец;;;;;;;;;;;
Число коллективных средств размещения, единица;1;1;1;1;1;1;1;;;;
Число мест в коллективных средствах размещения, единица;8;8;8;8;8;8;;;;;
Муниципальный район Усть-Куломский;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;
Муниципальный район Усть-Куломский;;;;;;;;;;;
Число коллективных средств размещения, единица;2;4;4;4;5;2;2;2;2;2;
Число мест в коллективных средствах размещения, единица;40;60;60;60;79;66;;;;;
Сельское поселение;;;;;;;;;;;
Диасёръя;;;;;;;;;;;
Число коллективных средств размещения, единица;;;1;1;1;;;;;;
