
значение показателя за год
;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;
Число организаций культурно-досугового типа, единица;;;;;;;;;;;;;
Муниципальный район Вуктыл (до 1 января 2017 года);;;;;;;;;;;;;
Муниципальный район Вуктыл (до 1 января 2017 года);;;;;;;;;;;;;
Муниципальный район;12;8;7;7;7;7;7;1;1;1;1;;
Вуктыл (до 1 января 2017 года);;;;;;;;;;;;;
Городское поселение;4;2;1;1;1;1;1;1;1;1;1;;
Дутово (до 1 января 2017 года);;;;;;;;;;;;;
Сельское поселение;3;2;2;2;2;2;2;;;;;;
Лемтыбож (до 1 января 2017 года);;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;1;;;;;;
Подчерье (до 1 января 2017 года);;;;;;;;;;;;;
Сельское поселение;3;2;2;2;2;2;2;;;;;;
Усть-Соплеск (до 1 января 2017 года);;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;1;;;;;;
Муниципальный район Ижемский;;;;;;;;;;;;;
Муниципальный район Ижемский;;;;;;;;;;;;;
Муниципальный район;43;24;24;24;25;25;;;;;;1;
Брыкаланск;;;;;;;;;;;;;
Сельское поселение;2;2;2;2;2;2;;;;;;;
Ижма;;;;;;;;;;;;;
Сельское поселение;2;2;2;2;2;2;;;;;;1;
Том;;;;;;;;;;;;;
Сельское поселение;3;3;3;3;3;3;;;;;;;
Кельчиюр;;;;;;;;;;;;;
Сельское поселение;4;4;4;4;4;4;;;;;;;
Кипиево;;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;1;;;;;;
Краснобор;;;;;;;;;;;;;
Сельское поселение;4;4;4;4;4;4;;;;;;;
Мохча;;;;;;;;;;;;;
Сельское поселение;3;3;3;3;3;3;;;;;;0;
Няшабож;;;;;;;;;;;;;
Сельское поселение;2;2;2;2;2;2;;;;;;;
Сизябск;;;;;;;;;;;;;
Сельское поселение;2;2;2;2;2;2;;;;;;;
Щельяюр;;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;1;1;;;;;
Муниципальный район Княжпогостский;;;;;;;;;;;;;
Муниципальный район Княжпогостский (до 1 января 2025 года);;;;;;;;;;;;;
Муниципальный район;24;20;20;20;18;17;17;17;1;1;12;2;
Емва;;;;;;;;;;;;;
Городское поселение;5;5;5;5;4;4;4;4;4;4;4;0;
Синдор;;;;;;;;;;;;;
Городское поселение;;;;;;1;1;1;1;1;1;1;
Ветью (до 1 января 2018г);;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;1;1;;;;;
Вожаёль (до 1 января 2013 года);;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;1;;;;;;
Иоссер;;;;;;;;;;;;;
Сельское поселение;2;2;2;2;2;1;1;1;1;1;1;;
Княжпогост (до 1 января 2013 года);;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;1;;;;;;
