
значение показателя за год
;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;
Число родившихся (без мертворожденных), человек;;;;;;;;;;;;;;;;;;
Муниципальный район Вуктыл (до 1 января 2017 года);;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Муниципальный район Вуктыл (до 1 января 2017 года);216;202;177;163;199;173;166;164;162;;;;;;;;
Городское поселение;;;;;;;;;;;;;;;;;;
Вуктыл (до 1 января 2017 года);168;159;150;139;167;142;132;137;141;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;
Дутово (до 1 января 2017 года);;;;12;13;14;11;14;11;;;;;;;;
Лемтыбож (до 1 января 2017 года);;;;3;3;7;5;2;2;;;;;;;;
Подчерье (до 1 января 2017 года);;;;6;13;8;10;8;7;;;;;;;;
Усть-Соплеск (до 1 января 2017 года);;;;3;3;2;8;3;1;;;;;;;;
Муниципальный район Ижемский;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Муниципальный район Ижемский;341;337;317;351;359;394;376;332;329;289;269;261;242;230;221;248;
Сельское поселение;;;;;;;;;;;;;;;;;;
Брыкаланск;;;;30;18;21;18;20;17;15;7;11;15;6;9;13;
Ижма;;;;80;72;67;88;75;81;74;77;73;62;67;58;66;
Том;;;;17;25;30;23;16;13;18;18;16;12;12;10;5;
Кельчиюр;;;;27;22;35;29;31;28;31;26;21;14;21;19;20;
Кипиево;;;;13;21;22;24;16;18;11;7;11;11;5;7;12;
Краснобор;;;;34;42;46;49;41;42;31;33;26;28;28;27;28;
Мохча;;;;39;44;53;45;31;30;27;20;27;18;14;17;22;
Няшабож;;;;12;18;14;16;12;12;11;14;6;13;7;11;9;
Сизябск;;;;50;51;49;36;41;46;27;26;41;36;36;31;36;
Щельяюр;;;;49;46;57;48;49;42;44;41;29;33;34;32;37;
Муниципальный район Княжпогостский;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Муниципальный район Княжпогостский (до 1 января 2025 года);273;269;263;265;299;313;281;213;234;181;150;193;159;145;132;112;
Городское поселение;;;;;;;;;;;;;;;;;;
Емва;;;;162;175;202;185;164;169;131;117;137;120;104;105;73;
Синдор;;;;29;32;31;27;17;20;19;7;22;12;19;11;19;
Сельское поселение;;;;;;;;;;;;;;;;;;
Ветью (до 1 января 2018г);;;;1;1;2;1;0;0;0;;;;;;;
Вожаёль (до 1 января 2013 года);;;;9;7;;;;;;;;;;;;
Иоссер;;;;5;7;8;7;3;2;2;0;2;1;0;1;1;
Княжпогост (до 1 января 2013 года);;;;8;4;;;;;;;;;;;;
Мещура;;;;2;7;4;6;1;4;2;2;3;2;3;0;0;
Серёгово;;;;6;16;8;12;2;10;3;5;7;5;3;10;9;
Тракт;;;;10;20;15;14;10;9;10;6;10;7;8;2;1;
Туръя;;;;3;4;8;5;3;3;3;4;1;3;1;1;1;
Чиньяворык;;;;19;17;28;15;11;10;8;8;8;9;6;2;7;
Шошка.;;;;11;9;7;9;2;7;3;1;3;0;1;0;1;
Муниципальный район Койгородский;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Муниципальный район Койгородский;124;127;117;135;139;115;131;95;108;92;79;73;73;77;50;61;
Сельское поселение;;;;;;;;;;;;;;;;;;
Грива;;;;7;7;8;4;5;2;5;3;5;4;4;3;3;
Кажым;;;;9;17;12;15;10;9;4;10;12;5;9;2;5;
Койгородок;;;;46;54;33;45;41;50;56;40;34;37;37;23;35;
Койдин;;;;26;23;16;28;12;19;10;9;8;13;12;11;3;
Ком ( до 1 января 2020 года);;;;3;2;4;4;1;3;0;0;0;0;;;;
Кузьёль;;;;2;5;6;3;3;3;3;1;2;3;2;1;1;
Нижний Турунъю (до 1 января 2017г);;;;0;1;3;0;0;0;;;;;;;;
Нючпас (до 1 января 2023 г);;;;1;2;4;1;0;3;0;0;2;0;0;0;;
Подзь;;;;29;15;16;19;17;12;11;14;6;8;7;8;8;
Ужга;;;;12;13;13;12;6;7;3;2;4;3;6;2;6;
