
значение показателя за год
;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;
Муниципальный район Вуктыл (до 1 января 2017 года);;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;
Муниципальный район Вуктыл (до 1 января 2017 года);;;;;;;;;;;;;
Число добровольных формирований населения по охране общественного порядка, единица;;;;;;;;1;1;1;1;;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;;;;;;18;18;13;14;;
Муниципальный район Ижемский;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;
Муниципальный район Ижемский;;;;;;;;;;;;;
Число муниципальных органов охраны общественного порядка, единица;;;;;;;;;;1;1;1;
Число работников муниципальных органов охраны общественного порядка, человек;;;;;;;;;;4;4;4;
Число добровольных формирований населения по охране общественного порядка, единица;;;4;7;;3;3;2;;;1;2;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;15;39;;23;23;10;;;6;12;
Сельское поселение;;;;;;;;;;;;;
Ижма;;;;;;;;;;;;;
Число добровольных формирований населения по охране общественного порядка, единица;;;;;;;;;;;;1;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;;;;;;;;;;7;
Кельчиюр;;;;;;;;;;;;;
Число добровольных формирований населения по охране общественного порядка, единица;;;4;4;;1;1;;;;;;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;15;15;;13;13;;;;;;
Краснобор;;;;;;;;;;;;;
Число добровольных формирований населения по охране общественного порядка, единица;;;;1;;;;;;;1;1;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;;10;;;;;;;6;5;
Сизябск;;;;;;;;;;;;;
Число добровольных формирований населения по охране общественного порядка, единица;;;;2;;2;2;2;;;;;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;;14;;10;10;10;;;;;
Щельяюр;;;;;;;;;;;;;
Число муниципальных органов охраны общественного порядка, единица;;;;;;;;;;1;1;1;
Число работников муниципальных органов охраны общественного порядка, человек;;;;;;;;;;4;4;4;
Муниципальный район Княжпогостский;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;
Муниципальный район Княжпогостский (до 1 января 2025 года);;;;;;;;;;;;;
Число добровольных формирований населения по охране общественного порядка, единица;;;;;10;10;10;10;10;4;4;4;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;;;36;36;36;36;36;19;19;19;
Городское поселение;;;;;;;;;;;;;
Емва;;;;;;;;;;;;;
Число муниципальных органов охраны общественного порядка, единица;;;;;;;;;;;0;0;
Число работников муниципальных органов охраны общественного порядка, человек;;;;;;;;;;;0;0;
Число добровольных формирований населения по охране общественного порядка, единица;;;;;;;;;;;0;0;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;;;;;;;;;0;0;
Синдор;;;;;;;;;;;;;
Число муниципальных органов охраны общественного порядка, единица;;;;;;;;;;;1;1;
Число работников муниципальных органов охраны общественного порядка, человек;;;;;;;;;;;1;1;
Число добровольных формирований населения по охране общественного порядка, единица;;;;;;;;;;;1;1;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;;;;;;;;;4;4;
Сельское поселение;;;;;;;;;;;;;
Вожаёль (до 1 января 2013 года);;;;;;;;;;;;;
Число добровольных формирований населения по охране общественного порядка, единица;;;;;1;1;1;;;;;;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;;;5;5;5;;;;;;
Княжпогост (до 1 января 2013 года);;;;;;;;;;;;;
Число добровольных формирований населения по охране общественного порядка, единица;;;;;1;1;1;;;;;;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;;;3;3;3;;;;;;
Мещура;;;;;;;;;;;;;
Число добровольных формирований населения по охране общественного порядка, единица;;;;;1;1;1;1;1;1;1;;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;;;9;9;9;9;9;9;3;;
Туръя;;;;;;;;;;;;;
Число добровольных формирований населения по охране общественного порядка, единица;;;;;;;;;1;1;1;1;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;;;;;;;5;5;5;5;
Муниципальный район Койгородский;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;
Муниципальный район Койгородский;;;;;;;;;;;;;
Число муниципальных органов охраны общественного порядка, единица;;;;;;;;;;;0;0;
Число работников муниципальных органов охраны общественного порядка, человек;;;;;;;;;;;0;0;
Число добровольных формирований населения по охране общественного порядка, единица;;;;;;;;;;1;2;2;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;;;;;;;;10;20;20;
Сельское поселение;;;;;;;;;;;;;
Кажым;;;;;;;;;;;;;
Число добровольных формирований населения по охране общественного порядка, единица;;;;;;;;;;1;1;1;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;;;;;;;;10;10;10;
Койгородок;;;;;;;;;;;;;
Число добровольных формирований населения по охране общественного порядка, единица;;;;;;;;;;;1;1;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;;;;;;;;;10;10;
Муниципальный район Корткеросский;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;
Муниципальный район Корткеросский;;;;;;;;;;;;;
Число муниципальных органов охраны общественного порядка, единица;1;1;;;;;;;;;0;0;
Число работников муниципальных органов охраны общественного порядка, человек;133;133;;;;;;;;;0;0;
Число добровольных формирований населения по охране общественного порядка, единица;;;;1;3;;;;;;0;1;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;;13;16;;;;;;0;11;
Сельское поселение;;;;;;;;;;;;;
Керес;;;;;;;;;;;;;
Число добровольных формирований населения по охране общественного порядка, единица;;;;1;1;1;1;1;1;1;1;1;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;;13;13;10;10;10;10;10;8;8;
Корткерос;;;;;;;;;;;;;
Число муниципальных органов охраны общественного порядка, единица;1;1;;;;;;;;;;0;
Число работников муниципальных органов охраны общественного порядка, человек;133;133;;;;;;;;;;0;
Число добровольных формирований населения по охране общественного порядка, единица;;;;;;;;;;;;0;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;;;;;;;;;;0;
Мордино;;;;;;;;;;;;;
Число добровольных формирований населения по охране общественного порядка, единица;;;;;;;;;;;0;;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;;;;;;;;;0;;
Подъельск;;;;;;;;;;;;;
Число добровольных формирований населения по охране общественного порядка, единица;;;;;1;1;1;1;1;;;;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;;;3;3;3;3;3;;;;
Муниципальный район Печора;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;
Муниципальный район Печора;;;;;;;;;;;;;
Число добровольных формирований населения по охране общественного порядка, единица;;;;;;;;;;1;1;1;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;;;;;;;;18;11;12;
Городское поселение;;;;;;;;;;;;;
Печора;;;;;;;;;;;;;
Число добровольных формирований населения по охране общественного порядка, единица;;;;;;;;;;1;1;1;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;;;;;;;;18;11;12;
Муниципальный район Прилузский;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;
Муниципальный район Прилузский;;;;;;;;;;;;;
Число муниципальных органов охраны общественного порядка, единица;;;;;1;;;;;;0;0;
Число работников муниципальных органов охраны общественного порядка, человек;;;;;1;;;;;;0;0;
Число добровольных формирований населения по охране общественного порядка, единица;;;;1;1;1;4;6;6;1;1;1;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;;18;18;18;30;42;42;25;25;25;
Сельское поселение;;;;;;;;;;;;;
Ваймес (до  1 января 2017г);;;;;;;;;;;;;
Число муниципальных органов охраны общественного порядка, единица;;1;;;;;;;;;;;
Число работников муниципальных органов охраны общественного порядка, человек;;1;;;;;;;;;;;
Верхолузье (до 1 января 2017г);;;;;;;;;;;;;
Число добровольных формирований населения по охране общественного порядка, единица;;;;;;;1;1;1;;;;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;;;;;4;4;3;;;;
Ношуль;;;;;;;;;;;;;
Число муниципальных органов охраны общественного порядка, единица;;1;;;1;;;;;;;;
Число работников муниципальных органов охраны общественного порядка, человек;;1;;;1;;;;;;;;
Число добровольных формирований населения по охране общественного порядка, единица;;;;;;;1;1;;;;;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;;;;;3;3;;;;;
Объячево;;;;;;;;;;;;;
Число добровольных формирований населения по охране общественного порядка, единица;;;;1;1;1;1;1;1;1;1;1;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;;18;18;18;18;18;18;25;25;25;
Чёрныш (до 1 января 2021 года);;;;;;;;;;;;;
Число добровольных формирований населения по охране общественного порядка, единица;;;;;;;1;1;1;;;;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;;;;;5;5;5;;;;
Муниципальный район Сосногорск;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;
Муниципальный район Сосногорск;;;;;;;;;;;;;
Число муниципальных органов охраны общественного порядка, единица;;;;;;;;;;;0;0;
Число работников муниципальных органов охраны общественного порядка, человек;;;;;;;;;;;0;0;
Число добровольных формирований населения по охране общественного порядка, единица;1;;;;;;;;;1;1;1;
Число участников добровольных формирований населения по охране общественного порядка, человек;24;;;;;;;;;8;7;7;
Городское поселение;;;;;;;;;;;;;
Сосногорск;;;;;;;;;;;;;
Число муниципальных органов охраны общественного порядка, единица;;;;;;;;;;;0;0;
Число работников муниципальных органов охраны общественного порядка, человек;;;;;;;;;;;0;0;
Число добровольных формирований населения по охране общественного порядка, единица;;;;;;;;;;1;1;1;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;;;;;;;;8;7;7;
Войвож;;;;;;;;;;;;;
Число муниципальных органов охраны общественного порядка, единица;1;;;;;;;;;;;;
Число работников муниципальных органов охраны общественного порядка, человек;3;;;;;;;;;;;;
Нижний Одес;;;;;;;;;;;;;
Число муниципальных органов охраны общественного порядка, единица;1;1;;;;;;;;;0;0;
Число работников муниципальных органов охраны общественного порядка, человек;11;12;;;;;;;;;0;0;
Число добровольных формирований населения по охране общественного порядка, единица;;;;;;;;;;;0;0;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;;;;;;;;;0;0;
Муниципальный район Сыктывдинский;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;
Муниципальный район Сыктывдинский;;;;;;;;;;;;;
Число муниципальных органов охраны общественного порядка, единица;1;;;;;;;;;;1;;
Число работников муниципальных органов охраны общественного порядка, человек;201;;;;;;;;;;1;;
Число добровольных формирований населения по охране общественного порядка, единица;;;;1;2;2;4;4;3;1;4;4;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;;78;88;86;103;101;87;7;52;50;
Сельское поселение;;;;;;;;;;;;;
Выльгорт;;;;;;;;;;;;;
Число муниципальных органов охраны общественного порядка, единица;1;;;;;;;;;;;;
Число работников муниципальных органов охраны общественного порядка, человек;201;;;;;;;;;;;;
Число добровольных формирований населения по охране общественного порядка, единица;;;;;1;1;1;1;;1;1;1;
Число участников добровольных формирований населения по охране общественного порядка, человек;;;;;8;8;16;14;;10;10;11;
Зеленец;;;;;;;;;;;;;
Число добровольных формирований населения по охране общественного порядка, единица;;;;1;1;1;1;1;1;1;1;1;
