
значение показателя за год
;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;
Муниципальный район Вуктыл (до 1 января 2017 года);;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;;
Муниципальный район Вуктыл (до 1 января 2017 года);;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Единовременная вместимость бань и душевых, место;;;;;;;;;;;;;;;;;;;
;93;95;67;65;67;67;67;67;67;67;22;;;;;;;;
Число кресел в парикмахерских, единица, единица;;;;;;;;;;;;;;;;;;;
;;32;38;38;31;31;31;31;31;31;21;;;;;;;;
прачечные;;;;;;;;;;;;;;;;;;;
Установленная мощность в 8-часовую смену организаций бытового обслуживания населения, килограмм;;;;;;;;;;;;;;;;;;;
;12;;;;;;;;;;;;;;;;;;
Городское поселение;;;;;;;;;;;;;;;;;;;
Вуктыл (до 1 января 2017 года);;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Единовременная вместимость бань и душевых, место;;;;;;;;;;;;;;;;;;;
;50;52;52;50;52;52;52;52;52;52;22;;;;;;;;
Число кресел в парикмахерских, единица, единица;;;;;;;;;;;;;;;;;;;
;;32;38;38;31;31;31;31;31;31;21;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
Дутово (до 1 января 2017 года);;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Единовременная вместимость бань и душевых, место;;;;;;;;;;;;;;;;;;;
;28;28;;;;;;;;;;;;;;;;;
Подчерье (до 1 января 2017 года);;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Единовременная вместимость бань и душевых, место;;;;;;;;;;;;;;;;;;;
;15;15;15;15;15;15;15;15;15;15;;;;;;;;;
прачечные;;;;;;;;;;;;;;;;;;;
Установленная мощность в 8-часовую смену организаций бытового обслуживания населения, килограмм;;;;;;;;;;;;;;;;;;;
;12;;;;;;;;;;;;;;;;;;
Муниципальный район Ижемский;;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;;
Муниципальный район Ижемский;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Число объектов бытового обслуживания населения, оказывающих услуги (по okpd2), единица;;;;;;;;;;;;;;;;;;;
Техническое обслуживание и ремонт транспортных средств, машин и оборудования;;;;;;;;;;;;2;5;7;7;7;7;7;
Ремонт и строительство жилья и других построек;;;;;;;;;;;;;5;4;6;8;8;8;
Число объектов бытового обслуживания населения, оказывающих услуги;;;;;;;;;;;;16;29;36;31;31;29;29;
Ремонт, окраска и пошив обуви;;;;;;;;;;;;2;2;2;1;;;1;
Ремонт и пошив швейных, меховых и кожаных изделий, головных уборов и изделий текстильной галантереи, ремонт, пошив и вязание трикотажных изделий;;;;;;;;;;;;1;3;4;3;3;2;1;
Ремонт и техническое обслуживание бытовой радиоэлектронной аппаратуры, бытовых машин и приборов, ремонт и изготовление металлоизделий;;;;;;;;;;;;2;4;5;4;4;4;4;
Химическая чистка и крашение, услуги прачечных;;;;;;;;;;;;;;;1;;;;
Услуги бань и душевых;;;;;;;;;;;;2;2;2;2;1;1;1;
Услуги парикмахерских;;;;;;;;;;;;4;5;9;4;4;4;4;
Услуги фотоателье;;;;;;;;;;;;1;1;1;1;1;1;1;
Ритуальные услуги;;;;;;;;;;;;2;2;2;2;3;2;2;
Прочие виды бытовых услуг;;;;;;;;;;;;;;0;;;;;
Число приемных пунктов бытового обслуживания  населения, принимающих заказы от населения на оказание услуг (по okpd2), единица;;;;;;;;;;;;;;;;;;;
Число приемных пунктов бытового обслуживания, принимающих заказы от населения на оказание услуг;;;;;;;;;;;;1;1;1;;2;2;;
Ремонт, окраска и пошив обуви;;;;;;;;;;;;1;1;1;;;;;
Ремонт и техническое обслуживание бытовой радиоэлектронной аппаратуры, бытовых машин и приборов, ремонт и изготовление металлоизделий;;;;;;;;;;;;;;;;;1;;
Ритуальные услуги;;;;;;;;;;;;;;;;2;1;;
Объем платных услуг населению (без субъектов малого предпринимательства), тысяча рублей;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;86731,8;81860;85675,5;91495,1;90120,5;
Единовременная вместимость бань и душевых, место;;;;;;;;;;;;;;;;;;;
;16;16;16;16;16;;16;16;16;17;17;;;;;;;;
Число кресел в парикмахерских, единица, единица;;;;;;;;;;;;;;;;;;;
;;4;4;3;3;8;3;4;4;9;8;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
Ижма;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Число объектов бытового обслуживания населения, оказывающих услуги (по okpd2), единица;;;;;;;;;;;;;;;;;;;
Техническое обслуживание и ремонт транспортных средств, машин и оборудования;;;;;;;;;;;;;3;5;5;5;5;5;
Ремонт и строительство жилья и других построек;;;;;;;;;;;;;5;4;6;8;8;8;
Число объектов бытового обслуживания населения, оказывающих услуги;;;;;;;;;;;;5;17;24;20;22;22;22;
Ремонт и пошив швейных, меховых и кожаных изделий, головных уборов и изделий текстильной галантереи, ремонт, пошив и вязание трикотажных изделий;;;;;;;;;;;;;1;2;1;1;1;1;
Ремонт и техническое обслуживание бытовой радиоэлектронной аппаратуры, бытовых машин и приборов, ремонт и изготовление металлоизделий;;;;;;;;;;;;;2;3;2;3;3;3;
Химическая чистка и крашение, услуги прачечных;;;;;;;;;;;;;;;1;;;;
Услуги бань и душевых;;;;;;;;;;;;1;1;1;1;1;1;1;
Услуги парикмахерских;;;;;;;;;;;;2;3;7;2;2;2;2;
Услуги фотоателье;;;;;;;;;;;;1;1;1;1;1;1;1;
Ритуальные услуги;;;;;;;;;;;;1;1;1;1;1;1;1;
Прочие виды бытовых услуг;;;;;;;;;;;;;;0;;;;;
Единовременная вместимость бань и душевых, место;;;;;;;;;;;;;;;;;;;
;16;16;16;16;16;;16;16;16;16;16;;;;;;;;
Число кресел в парикмахерских, единица, единица;;;;;;;;;;;;;;;;;;;
;;2;2;2;2;5;2;3;3;7;6;;;;;;;;
Том;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Число объектов бытового обслуживания населения, оказывающих услуги (по okpd2), единица;;;;;;;;;;;;;;;;;;;
Техническое обслуживание и ремонт транспортных средств, машин и оборудования;;;;;;;;;;;;;0;0;;;;;
Ремонт и строительство жилья и других построек;;;;;;;;;;;;;0;0;;;;;
Число объектов бытового обслуживания населения, оказывающих услуги;;;;;;;;;;;;;0;0;;;;;
Ремонт, окраска и пошив обуви;;;;;;;;;;;;;0;0;;;;;
Ремонт и пошив швейных, меховых и кожаных изделий, головных уборов и изделий текстильной галантереи, ремонт, пошив и вязание трикотажных изделий;;;;;;;;;;;;;0;0;;;;;
Ремонт и техническое обслуживание бытовой радиоэлектронной аппаратуры, бытовых машин и приборов, ремонт и изготовление металлоизделий;;;;;;;;;;;;;0;0;;;;;
Изготовление и ремонт мебели;;;;;;;;;;;;;0;0;;;;;
Химическая чистка и крашение, услуги прачечных;;;;;;;;;;;;;0;0;;;;;
Услуги бань и душевых;;;;;;;;;;;;;0;0;;;;;
Услуги парикмахерских;;;;;;;;;;;;;0;0;;;;;
Услуги фотоателье;;;;;;;;;;;;;0;0;;;;;
Ритуальные услуги;;;;;;;;;;;;;0;0;;;;;
Прочие виды бытовых услуг;;;;;;;;;;;;;0;0;;;;;
Число приемных пунктов бытового обслуживания  населения, принимающих заказы от населения на оказание услуг (по okpd2), единица;;;;;;;;;;;;;;;;;;;
Ремонт и строительство жилья и других построек;;;;;;;;;;;;;0;0;;;;;
Число приемных пунктов бытового обслуживания, принимающих заказы от населения на оказание услуг;;;;;;;;;;;;;0;0;;;;;
Ремонт, окраска и пошив обуви;;;;;;;;;;;;;0;0;;;;;
Ремонт и пошив швейных, меховых и кожаных изделий, головных уборов и изделий текстильной галантереи, ремонт, пошив и вязание трикотажных изделий;;;;;;;;;;;;;0;0;;;;;
Ремонт и техническое обслуживание бытовой радиоэлектронной аппаратуры, бытовых машин и приборов, ремонт и изготовление металлоизделий;;;;;;;;;;;;;0;0;;;;;
Изготовление и ремонт мебели;;;;;;;;;;;;;0;0;;;;;
Химическая чистка и крашение, услуги прачечных;;;;;;;;;;;;;0;0;;;;;
Услуги фотоателье;;;;;;;;;;;;;0;0;;;;;
Ритуальные услуги;;;;;;;;;;;;;0;0;;;;;
Прочие виды бытовых услуг;;;;;;;;;;;;;0;0;;;;;
Кельчиюр;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Число кресел в парикмахерских, единица, единица;;;;;;;;;;;;;;;;;;;
;;;;;;2;;;;;;;;;;;;;
Кипиево;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Число объектов бытового обслуживания населения, оказывающих услуги (по okpd2), единица;;;;;;;;;;;;;;;;;;;
Техническое обслуживание и ремонт транспортных средств, машин и оборудования;;;;;;;;;;;;;0;0;;;;;
Ремонт и строительство жилья и других построек;;;;;;;;;;;;;0;0;;;;;
Число объектов бытового обслуживания населения, оказывающих услуги;;;;;;;;;;;;;0;0;;;;;
Ремонт, окраска и пошив обуви;;;;;;;;;;;;;0;0;;;;;
Ремонт и пошив швейных, меховых и кожаных изделий, головных уборов и изделий текстильной галантереи, ремонт, пошив и вязание трикотажных изделий;;;;;;;;;;;;;0;0;;;;;
Ремонт и техническое обслуживание бытовой радиоэлектронной аппаратуры, бытовых машин и приборов, ремонт и изготовление металлоизделий;;;;;;;;;;;;;0;0;;;;;
Изготовление и ремонт мебели;;;;;;;;;;;;;0;0;;;;;
Химическая чистка и крашение, услуги прачечных;;;;;;;;;;;;;0;0;;;;;
Услуги бань и душевых;;;;;;;;;;;;;0;0;;;;;
Услуги парикмахерских;;;;;;;;;;;;;0;0;;;;;
Услуги фотоателье;;;;;;;;;;;;;0;0;;;;;
Ритуальные услуги;;;;;;;;;;;;;0;0;;;;;
Прочие виды бытовых услуг;;;;;;;;;;;;;0;0;;;;;
Число приемных пунктов бытового обслуживания  населения, принимающих заказы от населения на оказание услуг (по okpd2), единица;;;;;;;;;;;;;;;;;;;
Ремонт и строительство жилья и других построек;;;;;;;;;;;;;0;0;;;;;
Число приемных пунктов бытового обслуживания, принимающих заказы от населения на оказание услуг;;;;;;;;;;;;;0;0;;;;;
Ремонт, окраска и пошив обуви;;;;;;;;;;;;;0;0;;;;;
Ремонт и пошив швейных, меховых и кожаных изделий, головных уборов и изделий текстильной галантереи, ремонт, пошив и вязание трикотажных изделий;;;;;;;;;;;;;0;0;;;;;
Ремонт и техническое обслуживание бытовой радиоэлектронной аппаратуры, бытовых машин и приборов, ремонт и изготовление металлоизделий;;;;;;;;;;;;;0;0;;;;;
Изготовление и ремонт мебели;;;;;;;;;;;;;0;0;;;;;
Химическая чистка и крашение, услуги прачечных;;;;;;;;;;;;;0;0;;;;;
Услуги фотоателье;;;;;;;;;;;;;0;0;;;;;
Ритуальные услуги;;;;;;;;;;;;;0;0;;;;;
