
значение показателя за год
;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;
Муниципальный район Вуктыл (до 1 января 2017 года);;;;;;;;;;;
Муниципальный район;;;;;;;;;;;
Муниципальный район Вуктыл (до 1 января 2017 года);;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;9;9;9;;;;;;;;
Число телефонизированных сельских населенных пунктов, единица;10;10;11;;;;;;;;
Число телефонизированных объектов социальной сферы, единица;55;;;;;;;;;;
Городское поселение;;;;;;;;;;;
Вуктыл (до 1 января 2017 года);;;;;;;;;;;
Число телефонизированных сельских населенных пунктов, единица;;;1;;;;;;;;
Число телефонизированных объектов социальной сферы, единица;32;;;;;;;;;;
Сельское поселение;;;;;;;;;;;
Дутово (до 1 января 2017 года);;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;3;3;3;;;;;;;;
Число телефонизированных сельских населенных пунктов, единица;4;4;4;;;;;;;;
Число телефонизированных объектов социальной сферы, единица;11;;;;;;;;;;
Лемтыбож (до 1 января 2017 года);;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;1;1;1;;;;;;;;
Число телефонизированных сельских населенных пунктов, единица;1;1;1;;;;;;;;
Число телефонизированных объектов социальной сферы, единица;2;;;;;;;;;;
Подчерье (до 1 января 2017 года);;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;2;2;2;;;;;;;;
Число телефонизированных сельских населенных пунктов, единица;2;2;2;;;;;;;;
Число телефонизированных объектов социальной сферы, единица;8;;;;;;;;;;
Усть-Соплеск (до 1 января 2017 года);;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;3;3;3;;;;;;;;
Число телефонизированных сельских населенных пунктов, единица;3;3;3;;;;;;;;
Число телефонизированных объектов социальной сферы, единица;2;;;;;;;;;;
Муниципальный район Ижемский;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;
Муниципальный район Ижемский;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;34;34;33;33;33;34;34;34;34;34;
Число телефонизированных сельских населенных пунктов, единица;33;33;33;33;33;33;33;33;33;33;
Число телефонизированных объектов социальной сферы, единица;172;;;;;;;;;;
Сельское поселение;;;;;;;;;;;
Брыкаланск;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;2;;2;2;2;2;2;2;2;2;
Число телефонизированных сельских населенных пунктов, единица;2;;2;2;2;2;2;2;2;2;
Число телефонизированных объектов социальной сферы, единица;6;;;;;;;;;;
Ижма;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;3;3;3;3;3;3;3;3;3;3;
Число телефонизированных сельских населенных пунктов, единица;3;3;3;3;3;3;3;3;3;3;
Число телефонизированных объектов социальной сферы, единица;67;;;;;;;;;;
Том;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;3;3;3;3;3;3;3;3;3;3;
Число телефонизированных сельских населенных пунктов, единица;3;3;3;3;3;3;3;3;3;3;
Число телефонизированных объектов социальной сферы, единица;8;;;;;;;;;;
Кельчиюр;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;5;5;4;4;4;4;5;5;5;5;
Число телефонизированных сельских населенных пунктов, единица;4;4;4;4;4;4;4;4;4;4;
Число телефонизированных объектов социальной сферы, единица;19;;;;;;;;;;
Кипиево;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;2;2;2;2;2;2;2;2;2;2;
Число телефонизированных сельских населенных пунктов, единица;2;2;2;2;2;2;2;2;2;2;
Число телефонизированных объектов социальной сферы, единица;5;;;;;;;;;;
Краснобор;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;5;5;5;5;5;5;5;5;5;5;
Число телефонизированных сельских населенных пунктов, единица;5;5;5;5;5;5;5;5;5;5;
Число телефонизированных объектов социальной сферы, единица;15;;;;;;;;;;
Мохча;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;5;5;5;5;5;5;5;5;5;5;
Число телефонизированных сельских населенных пунктов, единица;5;5;5;5;5;5;5;5;5;5;
Число телефонизированных объектов социальной сферы, единица;14;;;;;;;;;;
Няшабож;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;2;2;2;2;2;2;2;2;2;2;
Число телефонизированных сельских населенных пунктов, единица;2;2;2;2;2;2;2;2;2;2;
Число телефонизированных объектов социальной сферы, единица;12;;;;;;;;;;
Сизябск;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;6;;6;6;6;6;6;6;6;6;
Число телефонизированных сельских населенных пунктов, единица;6;;6;6;6;6;6;6;6;6;
Число телефонизированных объектов социальной сферы, единица;10;;;;;;;;;;
Щельяюр;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;1;1;1;1;1;1;1;1;1;1;
Число телефонизированных сельских населенных пунктов, единица;1;1;1;1;1;1;1;1;1;1;
Число телефонизированных объектов социальной сферы, единица;16;;;;;;;;;;
Муниципальный район Княжпогостский;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;
Муниципальный район Княжпогостский (до 1 января 2025 года);;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;45;45;45;45;45;45;45;45;38;38;
Число телефонизированных сельских населенных пунктов, единица;46;46;46;46;46;46;46;38;34;32;
Число телефонизированных объектов социальной сферы, единица;84;;;;;;;;;;
Городское поселение;;;;;;;;;;;
Емва;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;6;6;6;6;6;6;6;6;6;6;
Число телефонизированных сельских населенных пунктов, единица;3;4;4;4;4;4;4;4;4;4;
Число телефонизированных объектов социальной сферы, единица;22;;;;;;;;;;
Синдор;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;2;2;1;1;1;1;1;1;1;1;
Число телефонизированных сельских населенных пунктов, единица;;;1;1;1;1;1;1;1;1;
Число телефонизированных объектов социальной сферы, единица;4;;;;;;;;;;
Сельское поселение;;;;;;;;;;;
Ветью (до 1 января 2018г);;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;3;;;3;;;;;;;
Число телефонизированных сельских населенных пунктов, единица;2;2;2;3;;;;;;;
Число телефонизированных объектов социальной сферы, единица;1;;;;;;;;;;
Иоссер;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;2;2;2;2;2;2;2;2;2;2;
Число телефонизированных сельских населенных пунктов, единица;2;2;2;2;2;2;2;2;2;1;
Число телефонизированных объектов социальной сферы, единица;5;;;;;;;;;;
Мещура;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;2;2;2;2;2;2;2;2;2;1;
Число телефонизированных сельских населенных пунктов, единица;2;2;2;2;2;2;2;2;2;1;
Число телефонизированных объектов социальной сферы, единица;6;;;;;;;;;;
Серёгово;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;2;2;2;6;6;6;6;6;6;6;
Число телефонизированных сельских населенных пунктов, единица;4;4;4;4;4;4;4;4;3;3;
Число телефонизированных объектов социальной сферы, единица;6;;;;;;;;;;
Тракт;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;4;;4;4;4;4;4;4;4;4;
Число телефонизированных сельских населенных пунктов, единица;4;;4;4;4;4;4;4;4;4;
Число телефонизированных объектов социальной сферы, единица;18;;;;;;;;;;
Туръя;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;4;4;4;4;4;7;7;7;7;7;
Число телефонизированных сельских населенных пунктов, единица;4;4;4;4;4;7;7;7;7;7;
Число телефонизированных объектов социальной сферы, единица;7;;;;;;;;;;
Чиньяворык;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;3;3;1;1;1;1;1;1;1;1;
Число телефонизированных сельских населенных пунктов, единица;3;3;1;1;1;1;1;1;1;1;
Число телефонизированных объектов социальной сферы, единица;2;;;;;;;;;;
Шошка.;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;9;9;9;9;9;9;9;9;9;9;
Число телефонизированных сельских населенных пунктов, единица;9;9;9;9;9;9;9;9;9;9;
Число телефонизированных объектов социальной сферы, единица;7;;;;;;;;;;
Муниципальный район Койгородский;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;
Муниципальный район Койгородский;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;15;15;15;15;15;15;15;15;15;15;
Число телефонизированных сельских населенных пунктов, единица;16;18;17;17;17;18;18;18;18;18;
Число телефонизированных объектов социальной сферы, единица;62;;;;;;;;;;
Сельское поселение;;;;;;;;;;;
Грива;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;1;1;2;2;2;2;2;2;2;2;
Число телефонизированных сельских населенных пунктов, единица;1;1;1;1;1;1;1;1;1;1;
Число телефонизированных объектов социальной сферы, единица;3;;;;;;;;;;
Кажым;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;1;1;1;1;1;1;1;1;1;1;
Число телефонизированных сельских населенных пунктов, единица;1;1;1;3;3;3;3;3;3;3;
Число телефонизированных объектов социальной сферы, единица;11;;;;;;;;;;
Койгородок;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;1;1;1;1;1;1;1;1;1;1;
Число телефонизированных сельских населенных пунктов, единица;1;1;1;1;1;1;1;1;1;1;
Число телефонизированных объектов социальной сферы, единица;19;;;;;;;;;;
Койдин;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;1;1;1;1;1;1;1;1;1;1;
Число телефонизированных сельских населенных пунктов, единица;1;1;1;1;1;1;1;1;1;1;
Число телефонизированных объектов социальной сферы, единица;4;;;;;;;;;;
Ком ( до 1 января 2020 года);;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;2;2;2;2;2;2;2;;;;
Число телефонизированных сельских населенных пунктов, единица;2;2;2;2;2;2;2;;;;
Число телефонизированных объектов социальной сферы, единица;2;;;;;;;;;;
Кузьёль;;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;1;1;1;1;1;1;2;3;3;3;
Число телефонизированных сельских населенных пунктов, единица;1;1;1;1;1;1;2;3;3;3;
Число телефонизированных объектов социальной сферы, единица;3;;;;;;;;;;
Нижний Турунъю (до 1 января 2017г);;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;2;2;;;;;;;;;
Число телефонизированных сельских населенных пунктов, единица;2;2;2;;;;;;;;
Число телефонизированных объектов социальной сферы, единица;1;;;;;;;;;;
Нючпас (до 1 января 2023 г);;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;1;;1;1;1;1;1;1;1;;
