
значение показателя за год
;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;
Муниципальный район Ижемский;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Муниципальный район Ижемский;;;;;;;;;;;;;;;;;;
Наличие сельскохозяйственной техники в сельскохозяйственных организациях  на конец года:, штука;;;;;;;;;;;;;;;;;;
тракторы (без тракторов, на которых смонтированы землеройные, мелиоративные и др. машины);;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;25;38;33;36;28;30;;;;;;;;3;;;
Муниципальный район Княжпогостский;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Муниципальный район Княжпогостский (до 1 января 2025 года);;;;;;;;;;;;;;;;;;
Наличие сельскохозяйственной техники в сельскохозяйственных организациях  на конец года:, штука;;;;;;;;;;;;;;;;;;
тракторы (без тракторов, на которых смонтированы землеройные, мелиоративные и др. машины);;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;18;19;19;19;14;14;;;;;;;;10;;;
кормоуборочные комбайны;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;2;3;3;3;2;;;;;;;;2;;;
Муниципальный район Койгородский;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Муниципальный район Койгородский;;;;;;;;;;;;;;;;;;
Наличие сельскохозяйственной техники в сельскохозяйственных организациях  на конец года:, штука;;;;;;;;;;;;;;;;;;
тракторы (без тракторов, на которых смонтированы землеройные, мелиоративные и др. машины);;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;21;21;20;20;20;;;;;;;;18;;;
кормоуборочные комбайны;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;2;2;;;;;;;;;;;
Муниципальный район Корткеросский;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Муниципальный район Корткеросский;;;;;;;;;;;;;;;;;;
Наличие сельскохозяйственной техники в сельскохозяйственных организациях  на конец года:, штука;;;;;;;;;;;;;;;;;;
тракторы (без тракторов, на которых смонтированы землеройные, мелиоративные и др. машины);;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;98;99;99;115;76;74;62;62;55;47;50;55;56;52;51;50;
зерноуборочные комбайны;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;1;;;;;;;;;;;;;;;
кормоуборочные комбайны;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;10;10;8;9;10;11;11;10;8;8;7;7;9;;;
картофелеуборочные комбайны;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;4;5;5;4;4;3;4;;;;;;;;;;
Муниципальный район Печора;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Муниципальный район Печора;;;;;;;;;;;;;;;;;;
