
значение показателя за год
;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;
Общая площадь земель муниципального образования, гектар;;;;;;;;;;;;;;;;;;;
Муниципальный район Вуктыл (до 1 января 2017 года);;;;;;;;;;;;;;;;;;;
Муниципальный район Вуктыл (до 1 января 2017 года);;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;2245318;2245318;2245318;2245318;2245318;2245318;2245318;2245318;2245318;2245318;2245318;;;;;;;;
Вуктыл (до 1 января 2017 года);;;;;;;;;;;;;;;;;;;
Городское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;1634;7294;7294;7294;7294;7294;7294;7294;16340;16340;16340;;;;;;;;
Дутово (до 1 января 2017 года);;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;7610,5;7610,5;7610,5;7610,5;7610,5;7610,5;7610,5;7610,5;7610,5;7610,5;7610,5;;;;;;;;
Лемтыбож (до 1 января 2017 года);;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;2374,8;2374,8;2374,8;2374,8;2374,8;2374,8;2374,8;2374,8;2374,8;2374,8;2374,8;;;;;;;;
Подчерье (до 1 января 2017 года);;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;774;774;774;774;774;774;774;774;774;774;774;;;;;;;;
Усть-Соплеск (до 1 января 2017 года);;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;978,3;978;978;978;978;978;978;978;978;978;978;;;;;;;;
Муниципальный район Ижемский;;;;;;;;;;;;;;;;;;;
Муниципальный район Ижемский;;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;1843557;1843557;1843557;1843557;1843557;1843557;1843557;1843557;1843557;1843557;1843557;1843557;1843557;1843557;1843557;1843557;1843557;1843557;
Брыкаланск;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;209;221;221;221;221;209;209;209;209;209;209;209;209;209;209;209;209;307;
Ижма;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;921;927;927;931,5;931,5;931,5;931,5;931,5;931,5;931,5;1024,2;1024,2;1024,2;1024,2;1024,2;1024,2;1024,2;1782;
Том;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;1054;1054;1054;1054;1054;1054;1054;1054;1054;1054;1054;1054;1054;1054;1054;1054;1054;1092;
Кельчиюр;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;431;436;436;436;436;436;436;436;436;436;436;436;436;436;436;436;436;787;
Кипиево;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215;311;
Краснобор;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;407;436;436;436;436;436;436;436;111900;111900;111900;111900;111900;111900;111900;111900;111900;508;
Мохча;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;405;408;408;408;408;408;408;135753;135753;135753;135753;135753;135753;135753;135753;135753;135753;135753;
Няшабож;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;113;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;
Сизябск;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;605;618;618;619;619;619;619;736;736;736;736;766;766;766;766;766;766;905;
Щельяюр;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;686;686;686;719;719;713;713;713;713;713;713;713;713;713;713;713;713;751;
Муниципальный район Княжпогостский;;;;;;;;;;;;;;;;;;;
Муниципальный район Княжпогостский (до 1 января 2025 года);;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;2461560;2461560;2461560;2461560;2461560;2461560;2461560;2461560;2461560;2461560;2461560;2461560;2461560;2461560;2461560;2461560;2461560;2461560;
Емва;;;;;;;;;;;;;;;;;;;
Городское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;6125;6125;6125;6125;6125;6125;6125;6125;8854,7;8854,7;8850,7;8850,7;8850,7;8850,7;8850,7;8850,7;8850,7;8850,7;
Синдор;;;;;;;;;;;;;;;;;;;
Городское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;1889;2121,4;2121,4;2121,4;2121,4;2121,4;2121,4;2121,4;2121,4;2121,4;2121,4;2121,4;52705,8;52705,8;52705,8;52705,8;52705,8;52705,8;
Ветью (до 1 января 2018г);;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;250;250;250;250;294,07;294,07;294,07;294,07;294,07;294,07;294,07;294,1;294,1;;;;;;
Вожаёль (до 1 января 2013 года);;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;917;917;917;917;917;917;917;;;;;;;;;;;;
Иоссер;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;885;885;885;885;885;885;885;885;885;885;779;779;779;779;779;779;779;779;
Княжпогост (до 1 января 2013 года);;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;1044,2;1044,2;1044,2;1044,2;1044;1044,22;1044,22;;;;;;;;;;;;
Мещура;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;334,5;334,5;334,5;334,5;334,5;334,5;334,5;334,5;334,5;334,5;334,5;334;334;334;334;334;334;334;
Серёгово;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;
Тракт;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;374,2;374,2;374,2;374,2;374,2;374,2;374,2;1291,2;1291,2;1291,2;1291,2;1291,2;1291,2;1291,2;1291,2;1291,2;1291,2;1291,2;
Туръя;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;1820;1820;1820;1820;1820;1820;1820;1820;1820;1820;1820;1820;1820;2114,1;2114,1;2114,1;2114,1;2114,1;
Чиньяворык;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;296;296;296;296;296;296;296;296;296;296;296;296;296;296;296;296;296;296;
Шошка.;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;601;601;601;601;601;601;601;601;601;601;601;601;601;601;601;601;601;601;
Муниципальный район Койгородский;;;;;;;;;;;;;;;;;;;
Муниципальный район Койгородский;;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;1041566;1041566;1041566;1041566;1041566;1041566;1041566;1041566;1041566;1041566;1041566;1041566;1041566;1041566;1041566;1041566;1041566;1050910;
Грива;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;224;235;235;235;235;43346;43346;43346;43346;43346;235;235;235;235;235;235;235;235;
