
значение показателя за год
;2016;
Муниципальный район Княжпогостский;;;;;;;;;;;;;;;;;;
Муниципальный район Княжпогостский (до 1 января 2025 года);;;;;;;;;;;;;;;;;;
Переселено из ветхих жилых домов за отчетный год, человек;;;;;;;;;;;;;;;;;;
Муниципальный район;296;
Емва;;;;;;;;;;;;;;;;;;
Переселено из ветхих жилых домов за отчетный год, человек;;;;;;;;;;;;;;;;;;
Городское поселение;169;
Муниципальный район Койгородский;;;;;;;;;;;;;;;;;;
Муниципальный район Койгородский;;;;;;;;;;;;;;;;;;
Переселено из ветхих жилых домов за отчетный год, человек;;;;;;;;;;;;;;;;;;
Муниципальный район;0;
Нючпас (до 1 января 2023 г);;;;;;;;;;;;;;;;;;
Переселено из ветхих жилых домов за отчетный год, человек;;;;;;;;;;;;;;;;;;
Сельское поселение;3;
Муниципальный район Корткеросский;;;;;;;;;;;;;;;;;;
Муниципальный район Корткеросский;;;;;;;;;;;;;;;;;;
Переселено из ветхих жилых домов за отчетный год, человек;;;;;;;;;;;;;;;;;;
Муниципальный район;202;
Керес;;;;;;;;;;;;;;;;;;
Переселено из ветхих жилых домов за отчетный год, человек;;;;;;;;;;;;;;;;;;
Сельское поселение;16;
Корткерос;;;;;;;;;;;;;;;;;;
Переселено из ветхих жилых домов за отчетный год, человек;;;;;;;;;;;;;;;;;;
Сельское поселение;9;
Усть-Лэкчим;;;;;;;;;;;;;;;;;;
Переселено из ветхих жилых домов за отчетный год, человек;;;;;;;;;;;;;;;;;;
Сельское поселение;57;
Муниципальный район Печора;;;;;;;;;;;;;;;;;;
Муниципальный район Печора;;;;;;;;;;;;;;;;;;
Переселено из ветхих жилых домов за отчетный год, человек;;;;;;;;;;;;;;;;;;
Муниципальный район;487;
Кожва;;;;;;;;;;;;;;;;;;
Переселено из ветхих жилых домов за отчетный год, человек;;;;;;;;;;;;;;;;;;
Городское поселение;6;
Муниципальный район Прилузский;;;;;;;;;;;;;;;;;;
Муниципальный район Прилузский;;;;;;;;;;;;;;;;;;
Переселено из ветхих жилых домов за отчетный год, человек;;;;;;;;;;;;;;;;;;
Муниципальный район;0;
Муниципальный район Сосногорск;;;;;;;;;;;;;;;;;;
Муниципальный район Сосногорск;;;;;;;;;;;;;;;;;;
Переселено из ветхих жилых домов за отчетный год, человек;;;;;;;;;;;;;;;;;;
Муниципальный район;0;
Сосногорск;;;;;;;;;;;;;;;;;;
Переселено из ветхих жилых домов за отчетный год, человек;;;;;;;;;;;;;;;;;;
Городское поселение;0;
Нижний Одес;;;;;;;;;;;;;;;;;;
Переселено из ветхих жилых домов за отчетный год, человек;;;;;;;;;;;;;;;;;;
Городское поселение;0;
Муниципальный район Сыктывдинский;;;;;;;;;;;;;;;;;;
Муниципальный район Сыктывдинский;;;;;;;;;;;;;;;;;;
Переселено из ветхих жилых домов за отчетный год, человек;;;;;;;;;;;;;;;;;;
Муниципальный район;262;
Выльгорт;;;;;;;;;;;;;;;;;;
Переселено из ветхих жилых домов за отчетный год, человек;;;;;;;;;;;;;;;;;;
Сельское поселение;205;
Зеленец;;;;;;;;;;;;;;;;;;
Переселено из ветхих жилых домов за отчетный год, человек;;;;;;;;;;;;;;;;;;
Сельское поселение;27;
Пажга;;;;;;;;;;;;;;;;;;
Переселено из ветхих жилых домов за отчетный год, человек;;;;;;;;;;;;;;;;;;
Сельское поселение;4;
Палевицы;;;;;;;;;;;;;;;;;;
Переселено из ветхих жилых домов за отчетный год, человек;;;;;;;;;;;;;;;;;;
Сельское поселение;0;
Ыб;;;;;;;;;;;;;;;;;;
Переселено из ветхих жилых домов за отчетный год, человек;;;;;;;;;;;;;;;;;;
Сельское поселение;26;
Муниципальный район Сысольский;;;;;;;;;;;;;;;;;;
Муниципальный район Сысольский;;;;;;;;;;;;;;;;;;
Переселено из ветхих жилых домов за отчетный год, человек;;;;;;;;;;;;;;;;;;
Муниципальный район;2;
Вотча;;;;;;;;;;;;;;;;;;
Переселено из ветхих жилых домов за отчетный год, человек;;;;;;;;;;;;;;;;;;
Сельское поселение;1;
Заозерье;;;;;;;;;;;;;;;;;;
Переселено из ветхих жилых домов за отчетный год, человек;;;;;;;;;;;;;;;;;;
Сельское поселение;0;
Куниб;;;;;;;;;;;;;;;;;;
Переселено из ветхих жилых домов за отчетный год, человек;;;;;;;;;;;;;;;;;;
Сельское поселение;0;
Куратово;;;;;;;;;;;;;;;;;;
Переселено из ветхих жилых домов за отчетный год, человек;;;;;;;;;;;;;;;;;;
Сельское поселение;1;
Муниципальный район Троицко-Печорский;;;;;;;;;;;;;;;;;;
Муниципальный район Троицко-Печорский;;;;;;;;;;;;;;;;;;
Переселено из ветхих жилых домов за отчетный год, человек;;;;;;;;;;;;;;;;;;
Муниципальный район;324;
Троицко-Печорск;;;;;;;;;;;;;;;;;;
Переселено из ветхих жилых домов за отчетный год, человек;;;;;;;;;;;;;;;;;;
Городское поселение;218;
Приуральский;;;;;;;;;;;;;;;;;;
Переселено из ветхих жилых домов за отчетный год, человек;;;;;;;;;;;;;;;;;;
Сельское поселение;3;
Куръя;;;;;;;;;;;;;;;;;;
Переселено из ветхих жилых домов за отчетный год, человек;;;;;;;;;;;;;;;;;;
Сельское поселение;70;
Митрофан-Дикост;;;;;;;;;;;;;;;;;;
Переселено из ветхих жилых домов за отчетный год, человек;;;;;;;;;;;;;;;;;;
Сельское поселение;3;
Мылва;;;;;;;;;;;;;;;;;;
Переселено из ветхих жилых домов за отчетный год, человек;;;;;;;;;;;;;;;;;;
Сельское поселение;5;
Нижняя Омра;;;;;;;;;;;;;;;;;;
Переселено из ветхих жилых домов за отчетный год, человек;;;;;;;;;;;;;;;;;;
Сельское поселение;25;
Муниципальный район Удорский;;;;;;;;;;;;;;;;;;
Муниципальный район Удорский;;;;;;;;;;;;;;;;;;
