
Муниципальная собственность, значение показателя за год, Наличие основных фондов на конец года по полной учетной стоимости по коммерческим организациям муниципальной формы собственности, тысяча рублей
;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;
Муниципальный район Вуктыл (до 1 января 2017 года);;;;;;;;;;;;;;;;;
Муниципальный район Вуктыл (до 1 января 2017 года);;;;;;;;;;;;;;;;;
Все основные фонды;;;;;;;;;;;;;;;;;
Муниципальный район;137934;137891;;;;1432;;;;;;;;;;;
Здания;;;;;;;;;;;;;;;;;
Муниципальный район;45674;45674;;;;605;;;;;;;;;;;
Сооружения;;;;;;;;;;;;;;;;;
Муниципальный район;79237;79237;;;;;;;;;;;;;;;
Машины и оборудование;;;;;;;;;;;;;;;;;
Муниципальный район;11349;11306;;;;793;;;;;;;;;;;
Информационное, компьютерное и телекоммуникационное оборудование;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;84;;;;;;;;;;;
Вычислительная техника и оргтехника;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;84;;;;;;;;;;;
Транспортные средства;;;;;;;;;;;;;;;;;
Муниципальный район;1546;1546;;;;;;;;;;;;;;;
Производственный и хозяйственный инвентарь;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;34;;;;;;;;;;;
Мебель;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;34;;;;;;;;;;;
Муниципальный район Ижемский;;;;;;;;;;;;;;;;;
Муниципальный район Ижемский;;;;;;;;;;;;;;;;;
Все основные фонды;;;;;;;;;;;;;;;;;
Муниципальный район;65958;76033;;;;19910;;;;;;;;;;;
Здания;;;;;;;;;;;;;;;;;
Муниципальный район;15324;15324;;;;;;;;;;;;;;;
Сооружения;;;;;;;;;;;;;;;;;
Муниципальный район;19844;20434;;;;80;;;;;;;;;;;
Машины и оборудование;;;;;;;;;;;;;;;;;
Муниципальный район;22451;25287;;;;3832;;;;;;;;;;;
Транспортные средства;;;;;;;;;;;;;;;;;
Муниципальный район;8062;14711;;;;15853;;;;;;;;;;;
Производственный и хозяйственный инвентарь;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;145;;;;;;;;;;;
Муниципальный район Княжпогостский;;;;;;;;;;;;;;;;;
Муниципальный район Княжпогостский (до 1 января 2025 года);;;;;;;;;;;;;;;;;
Все основные фонды;;;;;;;;;;;;;;;;;
Муниципальный район;107131;104170;191895;194917;;85487;;;;;;;;;;;
Здания;;;;;;;;;;;;;;;;;
Муниципальный район;24781;24781;47029;47029;;18685;;;;;;;;;;;
Сооружения;;;;;;;;;;;;;;;;;
Муниципальный район;11535;11535;62187;62187;;65367;;;;;;;;;;;
Машины и оборудование;;;;;;;;;;;;;;;;;
Муниципальный район;29856;26895;31956;34978;;1435;;;;;;;;;;;
Транспортные средства;;;;;;;;;;;;;;;;;
Муниципальный район;;;421;421;;;;;;;;;;;;;
Муниципальный район Койгородский;;;;;;;;;;;;;;;;;
Муниципальный район Койгородский;;;;;;;;;;;;;;;;;
Все основные фонды;;;;;;;;;;;;;;;;;
Муниципальный район;66552;68141;;;;;;;;;;;;;;;
Здания;;;;;;;;;;;;;;;;;
Муниципальный район;12096;12096;;;;;;;;;;;;;;;
Сооружения;;;;;;;;;;;;;;;;;
Муниципальный район;43077;44541;;;;;;;;;;;;;;;
Машины и оборудование;;;;;;;;;;;;;;;;;
Муниципальный район;11110;11205;;;;;;;;;;;;;;;
Транспортные средства;;;;;;;;;;;;;;;;;
Муниципальный район;269;269;;;;;;;;;;;;;;;
Муниципальный район Корткеросский;;;;;;;;;;;;;;;;;
Муниципальный район Корткеросский;;;;;;;;;;;;;;;;;
Все основные фонды;;;;;;;;;;;;;;;;;
Муниципальный район;3094;3883;;;;;;;;;;;;;;;
Здания;;;;;;;;;;;;;;;;;
Муниципальный район;590;590;;;;;;;;;;;;;;;
Машины и оборудование;;;;;;;;;;;;;;;;;
Муниципальный район;848;848;;;;;;;;;;;;;;;
Транспортные средства;;;;;;;;;;;;;;;;;
Муниципальный район;1656;2445;;;;;;;;;;;;;;;
Муниципальный район Печора;;;;;;;;;;;;;;;;;
Муниципальный район Печора;;;;;;;;;;;;;;;;;
Все основные фонды;;;;;;;;;;;;;;;;;
Муниципальный район;194656;295227;293233;293740;;300681;307509;322667;323761;324942;319260;309518;308716;308784;294420;295288;
Здания;;;;;;;;;;;;;;;;;
Муниципальный район;30516;38348;37807;37013;;31203;32009;41460;41460;41460;38832;27403;27159;27159;24604;24547;
Сооружения;;;;;;;;;;;;;;;;;
Муниципальный район;112722;204946;202798;203098;;203635;;;;;;;;;;;
Машины и оборудование;;;;;;;;;;;;;;;;;
Муниципальный район;43210;44047;44746;45903;;57482;63456;68749;69006;70112;;;;69187;57418;;
Информационное, компьютерное и телекоммуникационное оборудование;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;1156;1339;1420;1420;1339;1929;1235;1191;1079;;;
Вычислительная техника и оргтехника;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;879;1003;1084;1084;1003;;;;;;;
Прочие машины и оборудование;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;65739;65856;;;;;
Машины, оборудование, транспортные средства;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;75210;76848;76290;;;;
Транспортные средства;;;;;;;;;;;;;;;;;
Муниципальный район;6557;6427;6391;6281;;6756;;6763;7713;7713;7542;9757;6859;;;;
Производственный и хозяйственный инвентарь;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;1571;1653;1653;1540;1615;;;;;;;
Мебель;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;328;;;;;;;;;;;
Другие не перечисленные выше виды основных средств и фондов;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;34;;;;;;;;;;;
Прочие машины и оборудование, включая хозяйственный инвентарь, и другие объекты;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;68240;68108;57200;;
Городские поселения района Печора;;;;;;;;;;;;;;;;;
Все основные фонды;;;;;;;;;;;;;;;;;
Городское поселение;;;;;;;;;;;;;;;294420;295288;
Здания;;;;;;;;;;;;;;;;;
Городское поселение;;;;;;;;;;;;;;;24604;24547;
Машины и оборудование;;;;;;;;;;;;;;;;;
Городское поселение;;;;;;;;;;;;;;;57418;;
Прочие машины и оборудование, включая хозяйственный инвентарь, и другие объекты;;;;;;;;;;;;;;;;;
Городское поселение;;;;;;;;;;;;;;;57200;;
Печора;;;;;;;;;;;;;;;;;
Все основные фонды;;;;;;;;;;;;;;;;;
Городское поселение;;;;;;;;322667;323761;324942;319260;309518;308716;308784;294420;295288;
Здания;;;;;;;;;;;;;;;;;
Городское поселение;;;;;;;;41460;41460;;;;27159;27159;24604;24547;
Сельское поселение;;;;;;;;;;41460;38832;27403;;;;;
Машины и оборудование;;;;;;;;;;;;;;;;;
Городское поселение;;;;;;;;68749;69006;;;;;69187;57418;;
Сельское поселение;;;;;;;;;;70112;;;;;;;
Информационное, компьютерное и телекоммуникационное оборудование;;;;;;;;;;;;;;;;;
Городское поселение;;;;;;;;1420;1420;;;;1191;1079;;;
Сельское поселение;;;;;;;;;;1339;1929;1235;;;;;
Вычислительная техника и оргтехника;;;;;;;;;;;;;;;;;
Городское поселение;;;;;;;;1084;1084;;;;;;;;
Сельское поселение;;;;;;;;;;1003;;;;;;;
Прочие машины и оборудование;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;65739;65856;;;;;
Машины, оборудование, транспортные средства;;;;;;;;;;;;;;;;;
Городское поселение;;;;;;;;;;;;;76290;;;;
Сельское поселение;;;;;;;;;;;75210;76848;;;;;
Транспортные средства;;;;;;;;;;;;;;;;;
Городское поселение;;;;;;;;6763;7713;;;;6859;;;;
Сельское поселение;;;;;;;;;;7713;7542;9757;;;;;
Производственный и хозяйственный инвентарь;;;;;;;;;;;;;;;;;
Городское поселение;;;;;;;;1653;1540;;;;;;;;
Сельское поселение;;;;;;;;;;1615;;;;;;;
Прочие машины и оборудование, включая хозяйственный инвентарь, и другие объекты;;;;;;;;;;;;;;;;;
Городское поселение;;;;;;;;;;;;;68240;68108;57200;;
Муниципальный район Прилузский;;;;;;;;;;;;;;;;;
Муниципальный район Прилузский;;;;;;;;;;;;;;;;;
Все основные фонды;;;;;;;;;;;;;;;;;
Муниципальный район;173404;210562;215841;218321;218090;232719;241159;250449;268936;268827;;278282;;308417;;;
Здания;;;;;;;;;;;;;;;;;
Муниципальный район;31498;41563;40337;40805;40312;40130;41356;42843;42844;;;;;37517;;;
Сооружения;;;;;;;;;;;;;;;;;
Муниципальный район;107557;121459;122326;124689;119454;121452;120642;;;;;;;;;;
Машины и оборудование;;;;;;;;;;;;;;;;;
Муниципальный район;29313;40604;46289;45938;51181;60364;65304;71526;73056;;;;;;;;
Информационное, компьютерное и телекоммуникационное оборудование;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;793;863;925;988;;;;;;;;
Вычислительная техника и оргтехника;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;555;863;925;988;;;;;;;;
Транспортные средства;;;;;;;;;;;;;;;;;
Муниципальный район;4938;6894;6847;6847;7054;10696;13561;10408;19588;19724;;;;;;;
Производственный и хозяйственный инвентарь;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;77;;;;;;;;;;;
Объячево;;;;;;;;;;;;;;;;;
Все основные фонды;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;256639;268827;;;;;;;
Машины и оборудование;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;67546;;;;;;;;
Транспортные средства;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;18064;19724;;;;;;;
Муниципальный район Сосногорск;;;;;;;;;;;;;;;;;
Муниципальный район Сосногорск;;;;;;;;;;;;;;;;;
Все основные фонды;;;;;;;;;;;;;;;;;
Муниципальный район;151890;165045;176201;176177;192777;127445;130469;131880;131921;137431;138657;139292;136181;131620;;;
Здания;;;;;;;;;;;;;;;;;
Муниципальный район;24324;16330;31240;35449;33654;25025;24161;24821;28858;36150;33741;35385;35385;38304;;;
Сооружения;;;;;;;;;;;;;;;;;
Муниципальный район;104170;68545;56460;47481;47481;27897;76490;76908;73027;73027;74809;74809;72981;65881;;;
Машины и оборудование;;;;;;;;;;;;;;;;;
Муниципальный район;15673;58746;64968;67301;22803;12301;13088;13421;19506;12289;;;;13017;;;
Информационное, компьютерное и телекоммуникационное оборудование;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;2437;2478;2584;2594;2325;2059;1860;1761;1201;;;
Вычислительная техника и оргтехника;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;2426;2478;2584;2594;2256;;;;;;;
Прочие машины и оборудование;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;18018;;;;;;
Машины, оборудование, транспортные средства;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;29981;29078;27689;;;;
Транспортные средства;;;;;;;;;;;;;;;;;
Муниципальный район;6931;17260;19196;24628;39286;13395;;16496;9932;15749;9904;9904;8644;14398;;;
Производственный и хозяйственный инвентарь;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;234;;234;598;216;;;;;;;
Другие не перечисленные выше виды основных средств и фондов;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;48593;;;;;;;;;;;
Прочие машины и оборудование, включая хозяйственный инвентарь, и другие объекты;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;11816;;;
Городские поселения района Сосногорск;;;;;;;;;;;;;;;;;
Машины и оборудование;;;;;;;;;;;;;;;;;
Городское поселение;;;;;;;;13421;;;;;;;;;
Транспортные средства;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;9904;;;;;;
Сосногорск;;;;;;;;;;;;;;;;;
Все основные фонды;;;;;;;;;;;;;;;;;
Городское поселение;;;;;;;;128440;128983;134638;135667;136302;133191;128630;;;
Здания;;;;;;;;;;;;;;;;;
Городское поселение;;;;;;;;23619;27656;;;;34183;37102;;;
Сельское поселение;;;;;;;;;;34948;32539;34183;;;;;
Сооружения;;;;;;;;;;;;;;;;;
Городское поселение;;;;;;;;76775;72894;;;;;;;;
Сельское поселение;;;;;;;;;;72894;;;;;;;
Машины и оборудование;;;;;;;;;;;;;;;;;
Городское поселение;;;;;;;;12009;18094;;;;;11383;;;
Сельское поселение;;;;;;;;;;10849;;;;;;;
Информационное, компьютерное и телекоммуникационное оборудование;;;;;;;;;;;;;;;;;
Городское поселение;;;;;;;;2456;2466;;;;;;;;
Сельское поселение;;;;;;;;;;2169;;;;;;;
Вычислительная техника и оргтехника;;;;;;;;;;;;;;;;;
Городское поселение;;;;;;;;2456;2466;;;;;;;;
Сельское поселение;;;;;;;;;;2100;;;;;;;
Машины, оборудование, транспортные средства;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;28346;;;;;;
Транспортные средства;;;;;;;;;;;;;;;;;
Городское поселение;;;;;;;;15820;;;;;;;;;
Производственный и хозяйственный инвентарь;;;;;;;;;;;;;;;;;
Городское поселение;;;;;;;;217;581;;;;;;;;
Сельское поселение;;;;;;;;;;199;;;;;;;
Муниципальный район Сыктывдинский;;;;;;;;;;;;;;;;;
Муниципальный район Сыктывдинский;;;;;;;;;;;;;;;;;
Все основные фонды;;;;;;;;;;;;;;;;;
Муниципальный район;26047;63099;46900;61097;;7123;;;;;;;;;;;
Здания;;;;;;;;;;;;;;;;;
Муниципальный район;11178;28939;12945;14605;;;;;;;;;;;;;
