
значение показателя за год
;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;
Муниципальный район Вуктыл (до 1 января 2017 года);;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;
Муниципальный район Вуктыл (до 1 января 2017 года);;;;;;;;;;;;;;;;;
Количество загрязняющих веществ, отходящих от всех стационарных источников, тысяча тонн;;;;;;;;;;;;;;;;;
;;;;;;;17,364;18,803;21,137;;;;;;;;
Текущие (эксплуатационные) затраты на охрану окружающей среды, включая оплату услуг природоохранного назначения, тысяча рублей;;;;;;;;;;;;;;;;;
;24760,6;15829,5;25027,2;28789,4;89839;72856;92880;97009;73599;;;;;;;;
Количество объектов, имеющих стационарные источники загрязнения атмосферного воздуха, единица;;;;;;;;;;;;;;;;;
;8;7;6;7;10;10;10;9;10;;;;;;;;
Выброшено в атмосферу загрязняющих веществ, отходящих от стационарных источников – всего, -;;;;;;;;;;;;;;;;;
Всего, тыс. тонн;18,13;20,85;27,33;30,9;22,11;17,32;17,364;18,803;21,137;;;;;;;;
Твердые вещества, тыс. тонн;;;;;;;0,326;0,313;0,262;;;;;;;;
Газообразные  и жидкие вещества, тыс. тонн;;;;;;;17,037;18,49;20,875;;;;;;;;
Диоксид серы, тыс. тонн;;;;;;;0,239;0,183;0,171;;;;;;;;
Оксид углерода, тыс. тонн;;;;;;;2,724;3,328;2,621;;;;;;;;
Оксиды азота (в пересчете на NO2), тыс. тонн;;;;;;;1,114;0,909;0,889;;;;;;;;
Углеводороды, тыс. тонн;;;;;;;12,74;13,852;16,981;;;;;;;;
Летучие органические соединения (ЛОС), тонн;;;;;;;209,307;211,567;212,514;;;;;;;;
Прочие газообразные и жидкие вещества, тыс. тонн;;;;;;;0,011;0,007;0;;;;;;;;
Городское поселение;;;;;;;;;;;;;;;;;
Городские поселения района Вуктыл (до 1 января 2017 года);;;;;;;;;;;;;;;;;
Текущие (эксплуатационные) затраты на охрану окружающей среды, включая оплату услуг природоохранного назначения, тысяча рублей;;;;;;;;;;;;;;;;;
;24760,6;;;;;;;;;;;;;;;;
Вуктыл (до 1 января 2017 года);;;;;;;;;;;;;;;;;
Текущие (эксплуатационные) затраты на охрану окружающей среды, включая оплату услуг природоохранного назначения, тысяча рублей;;;;;;;;;;;;;;;;;
;24760,6;;;;;;;;;;;;;;;;
Муниципальный район Ижемский;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;
Муниципальный район Ижемский;;;;;;;;;;;;;;;;;
Количество загрязняющих веществ, отходящих от всех стационарных источников, тысяча тонн;;;;;;;;;;;;;;;;;
;;;;;;;1,476;1,285;1,285;1,316;;;;;;;
Текущие (эксплуатационные) затраты на охрану окружающей среды, включая оплату услуг природоохранного назначения, тысяча рублей;;;;;;;;;;;;;;;;;
;3139;1604,3;;;4522;5091;18664;18272;28310;25863;19401;30763;33873;43398;44424;136589;
Количество объектов, имеющих стационарные источники загрязнения атмосферного воздуха, единица;;;;;;;;;;;;;;;;;
;9;4;4;7;7;9;8;8;6;6;;;;;;;
Выброшено в атмосферу загрязняющих веществ, отходящих от стационарных источников – всего, -;;;;;;;;;;;;;;;;;
Всего, тыс. тонн;3,59;3,82;3,57;3,84;1,42;1,47;1,476;1,285;1,285;1,316;;;;;;;
Твердые вещества, тыс. тонн;;;;;;;0,494;0,409;0,404;0,403;;;;;;;
Газообразные  и жидкие вещества, тыс. тонн;;;;;;;0,982;0,876;0,882;0,913;;;;;;;
Диоксид серы, тыс. тонн;;;;;;;0,191;0,178;0,207;0,209;;;;;;;
Оксид углерода, тыс. тонн;;;;;;;0,457;0,383;0,388;0,383;;;;;;;
Оксиды азота (в пересчете на NO2), тыс. тонн;;;;;;;0,092;0,076;0,075;0,077;;;;;;;
Углеводороды, тыс. тонн;;;;;;;0,155;0,152;0,134;0,158;;;;;;;
Летучие органические соединения (ЛОС), тонн;;;;;;;86,806;83,707;76,681;84,866;;;;;;;
Прочие газообразные и жидкие вещества, тыс. тонн;;;;;;;0;0,003;0,001;0,001;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;
Муниципальный район Ижемский;;;;;;;;;;;;;;;;;
Текущие (эксплуатационные) затраты на охрану окружающей среды, включая оплату услуг природоохранного назначения, тысяча рублей;;;;;;;;;;;;;;;;;
;1624,7;;;;;;;;;;;;;;;;
Сельские поселения Ижемского района;;;;;;;;;;;;;;;;;
Текущие (эксплуатационные) затраты на охрану окружающей среды, включая оплату услуг природоохранного назначения, тысяча рублей;;;;;;;;;;;;;;;;;
;1624,7;;;;;;;;;;;;;;;;
Ижма;;;;;;;;;;;;;;;;;
Текущие (эксплуатационные) затраты на охрану окружающей среды, включая оплату услуг природоохранного назначения, тысяча рублей;;;;;;;;;;;;;;;;;
;1501,2;;;;;;;;;;;;;;;;
Краснобор;;;;;;;;;;;;;;;;;
Текущие (эксплуатационные) затраты на охрану окружающей среды, включая оплату услуг природоохранного назначения, тысяча рублей;;;;;;;;;;;;;;;;;
;123,5;;;;;;;;;;;;;;;;
Муниципальный район Княжпогостский;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;
Муниципальный район Княжпогостский (до 1 января 2025 года);;;;;;;;;;;;;;;;;
Количество загрязняющих веществ, отходящих от всех стационарных источников, тысяча тонн;;;;;;;;;;;;;;;;;
;;;;;;;29,851;25,321;24,341;27,844;;;;;;;
Уловлено и обезврежено загрязняющих веществ в процентах от общего количества загрязняющих веществ, отходящих от стационарных источников, процент;;;;;;;;;;;;;;;;;
;;;;;;;2,4;2,9;3;16;;;;;;;
Текущие (эксплуатационные) затраты на охрану окружающей среды, включая оплату услуг природоохранного назначения, тысяча рублей;;;;;;;;;;;;;;;;;
;37185,3;12165,1;37224,3;20656,3;144724;72599;94799;97908;132723;165389;74254;82852;186733;238526;328486;135270;
Количество объектов, имеющих стационарные источники загрязнения атмосферного воздуха, единица;;;;;;;;;;;;;;;;;
;12;10;8;12;17;15;19;16;16;18;;;;;;;
Выброшено в атмосферу загрязняющих веществ, отходящих от стационарных источников – всего, -;;;;;;;;;;;;;;;;;
Всего, тыс. тонн;11,57;25,2;25,37;19,6;22,7;33,29;29,122;24,596;23,615;23,38;;;;;;;
Твердые вещества, тыс. тонн;;;;;;;1,599;1,433;1,307;1,222;;;;;;;
Газообразные  и жидкие вещества, тыс. тонн;;;;;;;27,523;23,164;22,308;22,158;;;;;;;
Диоксид серы, тыс. тонн;;;;;;;0,347;0,27;0,086;0,078;;;;;;;
Оксид углерода, тыс. тонн;;;;;;;3,889;3,085;3,14;3,322;;;;;;;
Оксиды азота (в пересчете на NO2), тыс. тонн;;;;;;;1,344;1,761;1,549;1,76;;;;;;;
Углеводороды, тыс. тонн;;;;;;;21,5;17,659;17,149;16,839;;;;;;;
Летучие органические соединения (ЛОС), тонн;;;;;;;114,49;89,712;85,907;44,201;;;;;;;
Прочие газообразные и жидкие вещества, тыс. тонн;;;;;;;0,329;0,298;0,298;0,115;;;;;;;
Городское поселение;;;;;;;;;;;;;;;;;
Городские поселения Княжпогостского района;;;;;;;;;;;;;;;;;
Текущие (эксплуатационные) затраты на охрану окружающей среды, включая оплату услуг природоохранного назначения, тысяча рублей;;;;;;;;;;;;;;;;;
;37185,3;;;;;;;;;;;;;;;;
Емва;;;;;;;;;;;;;;;;;
Текущие (эксплуатационные) затраты на охрану окружающей среды, включая оплату услуг природоохранного назначения, тысяча рублей;;;;;;;;;;;;;;;;;
;37185,3;;;;;;;;;;;;;;;;
Муниципальный район Койгородский;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;
Муниципальный район Койгородский;;;;;;;;;;;;;;;;;
Количество загрязняющих веществ, отходящих от всех стационарных источников, тысяча тонн;;;;;;;;;;;;;;;;;
;;;;;;;0,846;0,644;0,796;0,869;;;;;;;
Уловлено и обезврежено загрязняющих веществ в процентах от общего количества загрязняющих веществ, отходящих от стационарных источников, процент;;;;;;;;;;;;;;;;;
;;;;;;;;;;37,7;;;;;;;
Текущие (эксплуатационные) затраты на охрану окружающей среды, включая оплату услуг природоохранного назначения, тысяча рублей;;;;;;;;;;;;;;;;;
;1101,1;1169,4;1101,1;;3006;15744;18301;16437;16294;18376;22906;21792;25644;27575;30466;37609;
Количество объектов, имеющих стационарные источники загрязнения атмосферного воздуха, единица;;;;;;;;;;;;;;;;;
;4;3;3;3;6;6;6;6;5;5;;;;;;;
Выброшено в атмосферу загрязняющих веществ, отходящих от стационарных источников – всего, -;;;;;;;;;;;;;;;;;
Всего, тыс. тонн;0,8;0,77;0,84;0,85;0,91;0,85;0,846;0,644;0,796;0,542;;;;;;;
Твердые вещества, тыс. тонн;;;;;;;0,288;0,181;0,255;0,133;;;;;;;
Газообразные  и жидкие вещества, тыс. тонн;;;;;;;0,557;0,462;0,542;0,409;;;;;;;
Диоксид серы, тыс. тонн;;;;;;;0,165;0,1;0,171;0,092;;;;;;;
Оксид углерода, тыс. тонн;;;;;;;0,272;0,306;0,318;0,278;;;;;;;
Оксиды азота (в пересчете на NO2), тыс. тонн;;;;;;;0,016;0,017;0,016;0,009;;;;;;;
Углеводороды, тыс. тонн;;;;;;;0;0;0;;;;;;;;
Летучие органические соединения (ЛОС), тонн;;;;;;;3,566;38,177;35,944;30,239;;;;;;;
Прочие газообразные и жидкие вещества, тыс. тонн;;;;;;;0,1;0;0,001;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;
Сельские поселения Койгородского района;;;;;;;;;;;;;;;;;
Текущие (эксплуатационные) затраты на охрану окружающей среды, включая оплату услуг природоохранного назначения, тысяча рублей;;;;;;;;;;;;;;;;;
;1101,1;;;;;;;;;;;;;;;;
Койгородок;;;;;;;;;;;;;;;;;
Текущие (эксплуатационные) затраты на охрану окружающей среды, включая оплату услуг природоохранного назначения, тысяча рублей;;;;;;;;;;;;;;;;;
;1101,1;;;;;;;;;;;;;;;;
Муниципальный район Корткеросский;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;
Муниципальный район Корткеросский;;;;;;;;;;;;;;;;;
Количество загрязняющих веществ, отходящих от всех стационарных источников, тысяча тонн;;;;;;;;;;;;;;;;;
;;;;;;;1,9;1,863;2,124;2,469;;;;;;;
Уловлено и обезврежено загрязняющих веществ в процентах от общего количества загрязняющих веществ, отходящих от стационарных источников, процент;;;;;;;;;;;;;;;;;
;;;;;;;;;;39,2;;;;;;;
Текущие (эксплуатационные) затраты на охрану окружающей среды, включая оплату услуг природоохранного назначения, тысяча рублей;;;;;;;;;;;;;;;;;
;413;168,8;;;606;8291;9373;12371;10926;12366;12668;34797;23001;26585;19473;25850;
Количество объектов, имеющих стационарные источники загрязнения атмосферного воздуха, единица;;;;;;;;;;;;;;;;;
;9;3;4;5;5;5;5;5;5;6;;;;;;;
Выброшено в атмосферу загрязняющих веществ, отходящих от стационарных источников – всего, -;;;;;;;;;;;;;;;;;
Всего, тыс. тонн;2;2,21;1,48;1,48;1,95;1,87;1,9;1,863;2,124;1,5;;;;;;;
